id_releve,x_l93,y_l93,x_UTM32N,y_UTM32N
8659247,948820,6456814,277428,5005261
8659248,948861,6457060,277488,5005503
8659249,948830,6457092,277459,5005537
8659250,948788,6457179,277424,5005627
8659251,948650,6457341,277298,5005799
8659252,948727,6457366,277377,5005818
8659253,948720,6457543,277383,5005996
8659255,948660,6457663,277333,5006120
8659256,948860,6457716,277536,5006158
8659257,948938,6457597,277605,5006033
8659258,948912,6457440,277567,5005878
8659263,949263,6458043,277963,5006454
8659268,949044,6457056,277670,5005485
8659271,948986,6456932,277603,5005366
8659274,949118,6456970,277738,5005394
8659280,949178,6456984,277799,5005403
8659284,949290,6456944,277907,5005355
8659285,949159,6457083,277787,5005504
8659287,948926,6458252,277642,5006688
8659289,949240,6458031,277939,5006444
8659290,949109,6457126,277740,5005550
8659291,949071,6457091,277700,5005518
8659295,949053,6457257,277694,5005685
8659300,949129,6457226,277768,5005648
8659305,949322,6457223,277960,5005631
8659308,949570,6457811,278252,5006199
8659313,949570,6457811,278252,5006199
8659326,948859,6457090,277488,5005533
8659328,948794,6456980,277415,5005428
8659330,948726,6457150,277360,5005603
8659331,948721,6457210,277359,5005663
8659332,948862,6457320,277508,5005762
8659346,948945,6457450,277601,5005886
8659347,949275,6457930,277966,5006340
8659348,948894,6458240,277610,5006678
8659351,948945,6457120,277576,5005557
8659354,948895,6456920,277511,5005361
8659357,949156,6457010,277779,5005431
8659360,949174,6456820,277782,5005240
8659362,949227,6456800,277834,5005216
8659367,949225,6457130,277856,5005545
8659369,949046,6457130,277678,5005559
8659371,949058,6457350,277706,5005778
8659376,949239,6457180,277874,5005594
8659389,949388,6457340,278035,5005743
8659391,949659,6457800,278340,5006182
8659393,949869,6458030,278567,5006395
8659395,949809,6458100,278512,5006470
8659398,949560,6458060,278261,5006448
8659400,948907,6457280,277550,5005719
8659401,948876,6457260,277518,5005701
8659402,948723,6457400,277376,5005853
8659404,948682,6457520,277344,5005976
8659406,948796,6457580,277462,5006027
8659408,948878,6457530,277540,5005971
8660602,1007148,6551641,342799,5095495
8660607,1007163,6551709,342819,5095562
8660609,1007166,6551731,342824,5095583
8660611,1007167,6551765,342827,5095617
8660613,1007204,6551767,342864,5095616
8660614,1007227,6551846,342893,5095694
8660616,1007106,6551806,342769,5095663
8660617,1007152,6551708,342808,5095562
8660619,1007196,6551722,342853,5095572
8660620,1007199,6551755,342858,5095605
8660623,1007235,6551724,342892,5095571
8660626,1007253,6551680,342907,5095526
