"","...1","Plot","age","id_observation","id_releve","code_perso","date_releve_deb","x_l93","y_l93","lon_wgs84","lat_wgs84","lieudit","alti_calc","rec_total_pl","rec_arbu_pl","rec_sarb_pl","rec_herba_pl","rec_crypto_pl","substr_roch_pl","substr_bloc_pl","substr_cail_pl","substr_terr_pl","substr_grav_pl","substr_sabl_pl","substr_liti_pl","nom_cite","cd_nom","nom_complet","cd_ref","nom_reconnu_ss_auteur","nom_reconnu","famille","recouvrement_sp","hauteur_veg","facilitation","BSC","compet","nurse","reprod","comment","meta_comm","Site","ageChronoG","ageChronoG2","Vielle_repro"
"1",1,"B1_04",6.5,34900905,10971337,"Band : B1","7/19/2019",968555.39,6432149.38,6.405282492,44.93642267,"Glacier Blanc",2527,NA,"<5% (0%)","<5% (0%)","25-50% (31%)","<5% (0%)",NA,"25-50% (25%)","10-25% (20%)",NA,"10-25% (14%)","5-10% (3%)","<5% (0%)","Agrostis schraderiana",80741,"Agrostis schraderiana Bech., 1938",80741,"Agrostis schraderiana","Agrostis schraderiana Bech., 1938","Poaceae","0,166666667",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 31 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2012 ; Age : 7","Glacier Blanc","0-7 yrs","0-7 yrs",NA
"2",1,"GB-01",58.5,24802843,8661042,"Band : B","8/10/2020",983706.88,6474710.88,6.62188,45.3132,"Glacier de G<e9>broulaz",2585,"50-75% (60%)",NA,NA,NA,NA,"25-50% (38%)","25-50% (27%)","10-25% (10%)",NA,"<5% (1%)","<5% (0%)",NA,"Saxifraga oppositifolia L., 1753",121132,"Saxifraga oppositifolia L., 1753",121132,"Saxifraga oppositifolia","Saxifraga oppositifolia L., 1753","Saxifragaceae","+","3",NA,NA,NA,NA,"0",NA,"ROCVEG : GB-01 ; Band : B ; Time : 11:43 ; Soil crust : 2 ; Moss : 50 ; Cyanobact : 50 ; Lichen : 0 ; BSC : 1 ; Photo number : NA","Gebroulaz","36-100 yrs","30-120 yrs",NA
"3",1,"O104",14,36714432,12117901,"Band : 2","8/27/2020",1014846.61,6552607.5,7.06997,46.00016,"Glacier d'Orny",NA,"5-10% (7%)",NA,NA,NA,NA,">75% (95%)","10-25% (13%)","25-50% (31%)",NA,"25-50% (40%)","5-10% (8%)",NA,"Luzula spicata subsp. spicata (L.) DC., 1805",137520,"Luzula spicata subsp. spicata (L.) DC., 1805",137520,"Luzula spicata subsp. spicata","Luzula spicata subsp. spicata (L.) DC., 1805","Juncaceae","+","3",NA,NA,NA,NA,"1",NA,"ROCVEG : O104 ; Band : 2 ; Time : 15:28 ; Soil crust : 1 ; Moss : 1000 ; Cyanobact : 0 ; Lichen : 0 ; BSC : NA ; Photo number : NA","Orny","12-19 years","7-13 years",NA
"4",1,"P01",169,33521639,10400805,"Band : LIA","7/8/2019",1000689.4,6540557.22,6.8796167,45.8982,"Glacier des P<e9>lerins",2118,">75% (80%)",NA,NA,NA,NA,"10-25% (15%)","5-10% (7%)","5-10% (7%)",NA,"<5% (1%)",NA,NA,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina (L.) Heywood, 1975",159722,"Leucanthemopsis alpina subsp. alpina","Leucanthemopsis alpina subsp. alpina (L.) Heywood, 1975","Asteraceae","0.1","7",NA,NA,NA,NA,NA,NA,"ROCVEG : P01 ; Band : LIA ; Time : NA ; Soil crust : 5% ; Moss : 3% ; Cyanobact : NA ; Lichen : 2% ; BSC : 1cm ; Photo number : NA","Pelerins","LIA - Control","LIA - Control",NA
"5",1,"S1-01",13,24793227,8659402,"Band : 1","7/21/2020",948722.89,6457400.15,6.16692,45.17101,"Glacier de Saint-Sorlin",2707,"<5% (2%)",NA,NA,NA,NA,">75% (98%)","10-25% (19%)","50-75% (50%)",NA,"25-50% (29%)","10-25% (10%)",NA,"Taraxacum F.H.Wigg., 1780",198226,"Taraxacum F.H.Wigg., 1780",198226,"Taraxacum","Taraxacum F.H.Wigg., 1780","Asteraceae","+","5",NA,NA,NA,NA,"1",NA,"ROCVEG : S1-01 ; Band : 1 ; Time : 14:18 ; Soil crust : + ; Moss : + ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Saint Sorlin","12-19 years","7-13 years",NA
"6",1,"T03",174,33524149,10401733,"Band : LIA","7/11/2019",1005752.63,6552175.17,6.9523333,46.00043,"Glacier du Tour",1502,">75% (90%)",NA,NA,NA,NA,"10-25% (10%)","10-25% (10%)",NA,NA,NA,NA,NA,"Leontodon hispidus L., 1753",105502,"Leontodon hispidus L., 1753",137189,"Leontodon hispidus subsp. hispidus","Leontodon hispidus subsp. hispidus L., 1753","Asteraceae","4","20",NA,NA,NA,NA,NA,NA,"ROCVEG : T03 ; Band : LIA ; Time : NA ; Soil crust : 0% ; Moss : 0% ; Cyanobact : 0% ; Lichen : 0% ; BSC : NA ; Photo number : NA","Tour","LIA - Control","LIA - Control",NA
"7",2,"B1_04",6.5,34900906,10971337,"Band : B1","7/19/2019",968555.39,6432149.38,6.405282492,44.93642267,"Glacier Blanc",2527,NA,"<5% (0%)","<5% (0%)","25-50% (31%)","<5% (0%)",NA,"25-50% (25%)","10-25% (20%)",NA,"10-25% (14%)","5-10% (3%)","<5% (0%)","Arabis alpina",83279,"Arabis alpina L., 1753",83279,"Arabis alpina","Arabis alpina L., 1753","Brassicaceae","0,166666667",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 31 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2012 ; Age : 7","Glacier Blanc","0-7 yrs","0-7 yrs",NA
"8",2,"GB-01",58.5,24802834,8661042,"Band : B","8/10/2020",983706.88,6474710.88,6.62188,45.3132,"Glacier de G<e9>broulaz",2585,"50-75% (60%)",NA,NA,NA,NA,"25-50% (38%)","25-50% (27%)","10-25% (10%)",NA,"<5% (1%)","<5% (0%)",NA,"Sagina saginoides (L.) H.Karst., 1882",119827,"Sagina saginoides (L.) H.Karst., 1882",119827,"Sagina saginoides","Sagina saginoides (L.) H.Karst., 1882","Caryophyllaceae","+","1",NA,NA,NA,NA,"1",NA,"ROCVEG : GB-01 ; Band : B ; Time : 11:43 ; Soil crust : 2 ; Moss : 50 ; Cyanobact : 50 ; Lichen : 0 ; BSC : 1 ; Photo number : NA","Gebroulaz","36-100 yrs","30-120 yrs",NA
"9",2,"O104",14,36714430,12117901,"Band : 2","8/27/2020",1014846.61,6552607.5,7.06997,46.00016,"Glacier d'Orny",NA,"5-10% (7%)",NA,NA,NA,NA,">75% (95%)","10-25% (13%)","25-50% (31%)",NA,"25-50% (40%)","5-10% (8%)",NA,"Veronica alpina L., 1753",128789,"Veronica alpina L., 1753",128789,"Veronica alpina","Veronica alpina L., 1753","Plantaginaceae","+","1",NA,NA,NA,NA,"0",NA,"ROCVEG : O104 ; Band : 2 ; Time : 15:28 ; Soil crust : 1 ; Moss : 1000 ; Cyanobact : 0 ; Lichen : 0 ; BSC : NA ; Photo number : NA","Orny","12-19 years","7-13 years",NA
"10",2,"P01",169,33521646,10400805,"Band : LIA","7/8/2019",1000689.4,6540557.22,6.8796167,45.8982,"Glacier des P<e9>lerins",2118,">75% (80%)",NA,NA,NA,NA,"10-25% (15%)","5-10% (7%)","5-10% (7%)",NA,"<5% (1%)",NA,NA,"Leontodon hispidus L., 1753",105502,"Leontodon hispidus L., 1753",137189,"Leontodon hispidus subsp. hispidus","Leontodon hispidus subsp. hispidus L., 1753","Asteraceae","1","3",NA,NA,NA,NA,NA,NA,"ROCVEG : P01 ; Band : LIA ; Time : NA ; Soil crust : 5% ; Moss : 3% ; Cyanobact : NA ; Lichen : 2% ; BSC : 1cm ; Photo number : NA","Pelerins","LIA - Control","LIA - Control",NA
"11",2,"S1-01",13,24793228,8659402,"Band : 1","7/21/2020",948722.89,6457400.15,6.16692,45.17101,"Glacier de Saint-Sorlin",2707,"<5% (2%)",NA,NA,NA,NA,">75% (98%)","10-25% (19%)","50-75% (50%)",NA,"25-50% (29%)","10-25% (10%)",NA,"Epilobium anagallidifolium Lam., 1786",96134,"Epilobium anagallidifolium Lam., 1786",96134,"Epilobium anagallidifolium","Epilobium anagallidifolium Lam., 1786","Onagraceae","+","3",NA,NA,NA,NA,"1",NA,"ROCVEG : S1-01 ; Band : 1 ; Time : 14:18 ; Soil crust : + ; Moss : + ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Saint Sorlin","12-19 years","7-13 years",NA
"12",2,"T03",174,33524143,10401733,"Band : LIA","7/11/2019",1005752.63,6552175.17,6.9523333,46.00043,"Glacier du Tour",1502,">75% (90%)",NA,NA,NA,NA,"10-25% (10%)","10-25% (10%)",NA,NA,NA,NA,NA,"Alchemilla L., 1753",188940,"Alchemilla L., 1753",188940,"Alchemilla","Alchemilla L., 1753","Rosaceae","10","15",NA,NA,NA,NA,NA,NA,"ROCVEG : T03 ; Band : LIA ; Time : NA ; Soil crust : 0% ; Moss : 0% ; Cyanobact : 0% ; Lichen : 0% ; BSC : NA ; Photo number : NA","Tour","LIA - Control","LIA - Control",NA
"13",3,"B1_04",6.5,34900907,10971337,"Band : B1","7/19/2019",968555.39,6432149.38,6.405282492,44.93642267,"Glacier Blanc",2527,NA,"<5% (0%)","<5% (0%)","25-50% (31%)","<5% (0%)",NA,"25-50% (25%)","10-25% (20%)",NA,"10-25% (14%)","5-10% (3%)","<5% (0%)","Artemisia umbelliformis",84053,"Artemisia umbelliformis Lam., 1783",84053,"Artemisia umbelliformis","Artemisia umbelliformis Lam., 1783","Asteraceae","0,166666667",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 31 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2012 ; Age : 7","Glacier Blanc","0-7 yrs","0-7 yrs",NA
"14",3,"GB-01",58.5,24802836,8661042,"Band : B","8/10/2020",983706.88,6474710.88,6.62188,45.3132,"Glacier de G<e9>broulaz",2585,"50-75% (60%)",NA,NA,NA,NA,"25-50% (38%)","25-50% (27%)","10-25% (10%)",NA,"<5% (1%)","<5% (0%)",NA,"Leontodon hispidus L., 1753",105502,"Leontodon hispidus L., 1753",105502,"Leontodon hispidus","Leontodon hispidus L., 1753","Asteraceae","1","4",NA,NA,NA,NA,"1",NA,"ROCVEG : GB-01 ; Band : B ; Time : 11:43 ; Soil crust : 2 ; Moss : 50 ; Cyanobact : 50 ; Lichen : 0 ; BSC : 1 ; Photo number : NA","Gebroulaz","36-100 yrs","30-120 yrs",NA
"15",3,"O104",14,36714429,12117901,"Band : 2","8/27/2020",1014846.61,6552607.5,7.06997,46.00016,"Glacier d'Orny",NA,"5-10% (7%)",NA,NA,NA,NA,">75% (95%)","10-25% (13%)","25-50% (31%)",NA,"25-50% (40%)","5-10% (8%)",NA,"Cerastium uniflorum Clairv., 1811",90116,"Cerastium uniflorum Clairv., 1811",90116,"Cerastium uniflorum","Cerastium uniflorum Clairv., 1811","Caryophyllaceae","+","1",NA,NA,NA,NA,"0",NA,"ROCVEG : O104 ; Band : 2 ; Time : 15:28 ; Soil crust : 1 ; Moss : 1000 ; Cyanobact : 0 ; Lichen : 0 ; BSC : NA ; Photo number : NA","Orny","12-19 years","7-13 years",NA
