"","cd_ref","nom_reconnu_ss_auteur","CHOROLOGIE","sexualité","pollinisation","inflorescence","fruit","dissémination","TYPE_BIOLOGIQUE","FORMATION_VEGETALE","CARACT_ECOLOG_HABITAT_OPTI","INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE","SA_CSR","dissemination_compil","pollinisation_compil","famille","nom_valide","tax_type","nbre_obs","annee_min","annee_max"
"1",79783,"Acer pseudoplatanus","européen","polygame","anémogame","racème de cymes unipares scorpioïdes","samare","anémochore","A-cad","magnophanérophytaie","associations arborescentes des forêts et bois caducifoliés climaciques, malacophylles, du tempéré modal médio-européen","sA Fraxino excelsioris - Quercetea roboris Gillet 1986 ex Julve 1993","ccc","anémochore","anémogame","Sapindaceae","Acer pseudoplatanus L., 1753","P",3,2019,2019
"2",80564,"Agrostis alpina","orophyte méridional","hermaphrodite","anémogame","panicule d'épillets","caryopse","anémochore","hces","hémicryptophytaie","pelouses basophiles arctico-alpines climaciques, chionophobes, européennes occidentales","Caricetalia myosuroidis Oberdorfer 1957","crs","anémochore","anémogame","Poaceae","Agrostis alpina Scop., 1771","P",2,2019,2019
"3",81179,"Alchemilla transiens","orophyte occidental","hermaphrodite","apogame","glomérules","akène","épizoochore","heri","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","css","barochore","apogame","Rosaceae","Alchemilla transiens (Buser) Buser, 1898","P",6,2019,2019
"4",130729,"Achillea erba-rotta subsp. moschata","orophyte alpien mérid.","hermaphrodite","entomogame","corymbe de capitules","akène","anémochore","hsto","hémicryptophytaie","grpts vivaces des éboulis médio-européens, acidophiles, orophiles, alpiens","Androsacion alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"anémochore","entomogame","Asteraceae","Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909","P",22,2019,2020
"5",79913,"Achillea nana","orophyte alpien","hermaphrodite","entomogame","corymbe de capitules","akène","anémochore","heri","hémicryptophytaie","grpts vivaces des éboulis médio-européens, acidophiles, orophiles, alpiens","Androsacion alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926","crs","barochore","entomogame","Asteraceae","Achillea nana L., 1753","P",34,2019,2020
"6",80183,"Adenostyles alliariae","orophyte méridional","hermaphrodite","entomogame, autogame","corymbe de capitules","akène","anémochore","Heri","hémicryptophytaie","mégaphorbiaies subalpines, hygrophiles, mésotrophiles, basophiles, des adrets","Adenostylion alliariae Braun-Blanquet 1926",NA,"anémochore","entomogame, autogame","Asteraceae","Adenostyles alliariae (Gouan) A.Kern., 1871","P",3,2019,2019
"7",80184,"Adenostyles alpina","orophyte méridional","hermaphrodite","entomogame, autogame","corymbe de capitules","akène","anémochore","heri","hémicryptophytaie",NA,"Adenostylion alpinae Castelli, Biondi & Ballelli 2001 ex Castelli, Biondi & Ballelli in Biondi, Allegrezza, Casavecchia, Galdenzi, Gasparri, Pesaresi, Vagge & Blasi 2014",NA,"anémochore","entomogame, autogame","Asteraceae","Adenostyles alpina (L.) Bluff & Fingerh., 1825","P",22,2019,2020
"8",80190,"Adenostyles leucophylla","orophyte alpien occ.","hermaphrodite","entomogame, autogame","corymbe de capitules","akène","anémochore","heri","hémicryptophytaie","grpts vivaces des éboulis médio-européens, acidophiles, orophiles, alpiens","Androsacion alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"anémochore","entomogame, autogame","Asteraceae","Adenostyles leucophylla (Willd.) Rchb., 1831","P",46,2019,2020
"9",80729,"Agrostis rupestris","orophyte méridional","hermaphrodite","anémogame","panicule d'épillets","caryopse","anémochore","hces","hémicryptophytaie","pelouses acidophiles alpino-alpiennes climaciques, chionophobes","Caricion curvulae subsp. curvulae Braun-Blanquet 1925","crs","anémochore","anémogame","Poaceae","Agrostis rupestris All., 1785","P",27,2019,2020
"10",80741,"Agrostis schraderiana","orophyte alpien","hermaphrodite","anémogame","panicule d'épillets","caryopse","barochore","hsto","hémicryptophytaie","pelouses basophiles subalpines, alpiennes, mésohygrophiles","Caricion ferrugineae Braun-Blanquet 1931",NA,"barochore","anémogame","Poaceae","Agrostis schraderiana Bech., 1938","P",65,2019,2020
"11",81032,"Alchemilla alpigena","orophyte alpien","hermaphrodite","apogame","glomérules","akène","épizoochore","heri","hémicryptophytaie","pelouses basophiles subalpines, alpiennes, mésohygrophiles","Caricion ferrugineae Braun-Blanquet 1931","css","barochore","apogame","Rosaceae","Alchemilla alpigena Buser, 1894","P",1,2019,2019
"12",81033,"Alchemilla alpina","arctico-alpin","hermaphrodite","apogame","glomérules","akène","épizoochore","heri","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","css","barochore","apogame","Rosaceae","Alchemilla alpina L., 1753","P",23,2019,2020
"13",81055,"Alchemilla colorata","orophyte alpien","hermaphrodite","apogame","glomérules","akène","épizoochore","heri","hémicryptophytaie","pelouses basophiles subalpines, pionnières, chionophiles","Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978","ccs","barochore","apogame","Rosaceae","Alchemilla colorata Buser, 1892","P",1,2019,2019
"14",81075,"Alchemilla fissa","orophyte alpien","hermaphrodite","apogame","glomérules","akène","épizoochore","heri","hémicryptophytaie","pelouses alpines climaciques chionophiles, acidophiles","Salicion herbaceae Braun-Blanquet in Braun-Blanquet & Jenny 1926","ccs","barochore","apogame","Rosaceae","Alchemilla fissa Günther & Schummel, 1819","P",3,2019,2020
"15",81088,"Alchemilla glabra","européen septentrional","hermaphrodite","apogame","glomérules","akène","épizoochore","heri","hémicryptophytaie","prairies mésohydriques, subalpines à montagnardes supérieures","Poo alpinae - Trisetetalia flavescentis Ellmauer & Mucina in Mucina, Grabherr & Ellmauer 1993","ccs","barochore","apogame","Rosaceae","Alchemilla glabra Neygenf., 1821","P",1,2019,2019
"16",81140,"Alchemilla pentaphyllea","orophyte alpien","hermaphrodite","apogame","glomérules","akène","épizoochore","heri","hémicryptophytaie","pelouses alpines climaciques chionophiles, acidophiles","Salicion herbaceae Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","barochore","apogame","Rosaceae","Alchemilla pentaphyllea L., 1753","P",3,2019,2019
"17",81159,"Alchemilla saxatilis","orophyte méridional","hermaphrodite","apogame","glomérules","akène","épizoochore","heri","hémicryptophytaie","lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines","Androsacetalia vandellii Braun-Blanquet in Meier & Braun-Blanquet 1934","css","barochore","apogame","Rosaceae","Alchemilla saxatilis Buser, 1891","P",4,2019,2020
"18",81563,"Alnus alnobetula","européen","monoïque","anémogame","épi de cymes triflores","akène","anémochore","b-cad","nanophanérophytaie","buissons d'arbrisseaux mésohydriques, des zones d'éboulis subalpins","Alnion alnobetulae Schnyder 1930",NA,"anémochore","anémogame","Betulaceae","Alnus alnobetula (Ehrh.) K.Koch, 1872","P",3,2019,2019
"19",81638,"Alopecurus gerardi","orophyte méridional","hermaphrodite","anémogame","épi d'épillets","caryopse","barochore","hsto","hémicryptophytaie","pelouses acidophiles ouvertes, alpines, mésohydriques, des adrets alpiens","Festucion acuminatae Braun-Blanquet 1926",NA,"barochore","anémogame","Poaceae","Alopecurus gerardi Vill., 1786","P",5,2019,2019
"20",82478,"Androsace alpina","orophyte alpien","hermaphrodite","entomogame","ombelle simple","capsule","barochore","ccou","hémicryptophytaie","grpts vivaces des éboulis médio-européens, acidophiles, orophiles, alpiens","Androsacion alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"barochore","entomogame","Primulaceae","Androsace alpina (L.) Lam., 1779","P",9,2019,2020
"21",82519,"Androsace obtusifolia","orophyte alpien","hermaphrodite","entomogame","ombelle simple","capsule","barochore","hces","hémicryptophytaie","pelouses acidophiles alpino-alpiennes climaciques, chionophobes","Caricion curvulae subsp. curvulae Braun-Blanquet 1925",NA,"barochore","entomogame","Primulaceae","Androsace obtusifolia All., 1785","P",2,2019,2020
"22",82529,"Androsace pubescens","orophyte alpien occ.","hermaphrodite","entomogame","ombelle simple","capsule","barochore","ccou","hémicryptophytaie","lithophytes des dalles en pente de falaises basophiles, subalpins à montagnards, alpiens et auvergnat","Potentillion caulescentis Braun-Blanquet in Braun-Blanquet & Jenny 1926","rss","barochore","entomogame","Primulaceae","Androsace pubescens DC., 1805","P",1,2019,2019
"23",82796,"Antennaria dioica","circumboréal","hermaphrodite, dioïque","apogame","épi de capitules","akène","anémochore","hsto","hémicryptophytaie","pelouses acidophiles médio-européennes à boréo-subalpines","Nardetea strictae Rivas Goday & Borja-Carbonell 1961 em. de Foucault 1994","crs","barochore","apogame","Asteraceae","Antennaria dioica (L.) Gaertn., 1791","P",3,2019,2020
"24",82914,"Anthoxanthum alpinum","arctico-alpin","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","hces","hémicryptophytaie","pelouses acidophiles arctico-alpines climaciques, chionophobes","Caricetea curvulae subsp. curvulae Braun-Blanquet 1948",NA,"épizoochore","anémogame","Poaceae","Anthoxanthum alpinum Á.Löve & D.Löve, 1948","P",42,2019,2020
"25",82922,"Anthoxanthum odoratum","circumboréal","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","hces","hémicryptophytaie","pelouses acidophiles médio-européennes à boréo-subalpines","Nardetea strictae Rivas Goday & Borja-Carbonell 1961 em. de Foucault 1994","crs","anémochore (et épizoochore ?)","anémogame","Poaceae","Anthoxanthum odoratum L., 1753","P",4,2019,2020
"26",82999,"Anthyllis vulneraria","européen","hermaphrodite","entomogame","racème capituliforme","gousse","anémochore","hsto","hémicryptophytaie","pelouses basophiles médio-européennes et nevado-illyriennes","Festuco valesiacae - Bromopsidetea erectae Braun-Blanquet & Tüxen 1943 em. Royer 1987","crs","barochore",NA,"Fabaceae","Anthyllis vulneraria L., 1753","P",2,2019,2019
"27",83279,"Arabis alpina","arctico-alpin","hermaphrodite","entomogame, autogame","racème simple","silique","anémochore","hces","hémicryptophytaie","grpts vivaces des éboulis grossiers de calcaires compacts, montagnards-subalpins, sciaphiles","Arabidion alpinae Béguin 1970","crs","barochore","entomogame, autogame","Brassicaceae","Arabis alpina L., 1753","P",46,2019,2020
"28",83296,"Arabis caerulea","orophyte alpien","hermaphrodite","entomogame","racème simple","silique","anémochore","heri","hémicryptophytaie","pelouses alpines climaciques chionophiles, basophiles","Arabidion caeruleae Braun-Blanquet in Braun-Blanquet & Jenny 1926","rss","barochore","entomogame","Brassicaceae","Arabis caerulea (All.) Haenke, 1789","P",9,2019,2020
"29",83303,"Arabis ciliata","orophyte méridional","hermaphrodite","entomogame","racème simple","silique","barochore","heri","hémicryptophytaie","pelouses basophiles subalpines, pionnières, chionophiles","Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978","crs","barochore","entomogame","Brassicaceae","Arabis ciliata Clairv., 1811","P",1,2019,2019
"30",83528,"Arctostaphylos uva-ursi","circumboréal","hermaphrodite","entomogame, autogame","ombelle simple","baie","endozoochore","Cfru","parvochaméphytaie","landines alpines à subalpines, des adrets, chionophobes","Juniperion communis subsp. nanae Braun-Blanquet in Braun-Blanquet, Sissingh & Vlieger 1939","css","endozoochore","entomogame, autogame","Ericaceae","Arctostaphylos uva-ursi (L.) Spreng., 1825","P",4,2019,2020
"31",83528,"Arctostaphylos uva-ursi","circumboréal","hermaphrodite","entomogame, autogame","ombelle simple","baie","endozoochore","Cfru","parvochaméphytaie","landines alpines à subalpines, des adrets, chionophobes","Juniperion communis subsp. nanae Braun-Blanquet in Braun-Blanquet, Sissingh & Vlieger 1939","ccs","endozoochore","entomogame, autogame","Ericaceae","Arctostaphylos uva-ursi (L.) Spreng., 1825","P",4,2019,2020
"32",83808,"Armeria alpina","orophyte méridional","hermaphrodite","entomogame","cyme capituliforme","capsule","épizoochore","hces","hémicryptophytaie","pelouses acidophiles alpines climaciques, chionophobes","Caricetalia curvulae subsp. curvulae Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","barochore","entomogame","Plumbaginaceae","Armeria alpina Willd., 1809","P",8,2019,2020
"33",83973,"Artemisia genipi","orophyte méridional","hermaphrodite","anémogame","épi de capitules","akène","barochore","hces","hémicryptophytaie","grpts vivaces des éboulis basophiles, psychrophiles, montagnards (ubacs) à alpins, héliophiles","Noccaeetalia rotundifoliae Braun-Blanquet in Braun-Blanquet & Jenny 1926 em. Seibert in Oberdorfer 1977","rss","barochore","anémogame","Asteraceae","Artemisia genipi Weber, 1775","P",34,2019,2020
"34",84053,"Artemisia umbelliformis","orophyte méridional","hermaphrodite","anémogame","épi de capitules","akène","barochore","hces","hémicryptophytaie","lithophytes des dalles en pente de falaises basophiles, subalpins à montagnards, alpiens et auvergnat","Potentillion caulescentis Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"barochore","anémogame","Asteraceae","Artemisia umbelliformis Lam., 1783","P",46,2019,2020
"35",84526,"Asplenium septentrionale","circumboréal","monoïque","hydrogame",NA,NA,"anémochore","hces","hémicryptophytaie","chasmophytes de parois européennes, acidophiles, planitiaires-montagnardes","Asplenietalia septentrionalis Oberdorfer, Görs, Korneck, Lohmeyer, Müller, Philippi & Seibert 1967 ex Loisel 1970","rss","anémochore",NA,"Aspleniaceae","Asplenium septentrionale (L.) Hoffm., 1796","P",1,2019,2019
"36",84534,"Asplenium trichomanes","européen","monoïque","hydrogame",NA,NA,"anémochore","hces","hémicryptophytaie","chasmophytes des parois européennes","Asplenietea trichomanis Braun-Blanquet in Meier & Braun-Blanquet 1934","rrs","anémochore",NA,"Aspleniaceae","Asplenium trichomanes L., 1753","P",1,2019,2019
"37",84540,"Asplenium viride","orophyte circumboréal","monoïque","hydrogame",NA,NA,"anémochore","hces","hémicryptophytaie","chasmophytes de parois européennes, basophiles, sciaphiles, psychrophiles, médio-européennes","Cystopteridion fragilis (Nordhagen 1936) Richard 1972",NA,"anémochore","hydrogame","Aspleniaceae","Asplenium viride Huds., 1762","P",1,2020,2020
"38",84937,"Astrantia minor","orophyte méridional","hermaphrodite","entomogame","ombelle d'ombellules","akène","épizoochore","heri","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","ccs","barochore","entomogame","Apiaceae","Astrantia minor L., 1753","P",2,2019,2019
"39",84998,"Athyrium distentifolium","circumboréal","monoïque","hydrogame",NA,NA,"autochore","Hces","hémicryptophytaie","mégaphorbiaies boréales à subalpines, ombragées","Dryopterido filicis-maris - Athyrion distentifolii Holub in Holub, Hejný, Moravec & Neuhäusl 1967","ccs","anémochore",NA,"Athyriaceae","Athyrium distentifolium Tausch ex Opiz, 1820","P",11,2019,2020
"40",84999,"Athyrium filix-femina","circumboréal","monoïque","hydrogame",NA,NA,"autochore","Hces","hémicryptophytaie","ourlets internes et clairières vivaces médio-européennes, eutrophiles, mésohygrophiles","Circaeo lutetianae - Stachyetalia sylvaticae Passarge 1967","ccs","anémochore",NA,"Athyriaceae","Athyrium filix-femina (L.) Roth, 1799","P",1,2019,2019
"41",85418,"Avenella flexuosa","circumboréal","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","hces","hémicryptophytaie","ourlets acidophiles médio-européens","Melampyro pratensis - Holcetea mollis Passarge 1979",NA,"épizoochore","anémogame","Poaceae","Avenella flexuosa (L.) Drejer, 1838","P",23,2019,2020
"42",85602,"Bartsia alpina","arctico-alpin","hermaphrodite","entomogame","racème simple","capsule","épizoochore","hsto-hpar","hémicryptophytaie","parvocariçaies des tourbières basses basophiles, arctico-alpines à boréo-subalpines","Junco triglumis - Equisetetalia variegati (Julve 1983 em. de Foucault 1984) Julve 1993","rss","barochore","entomogame","Orobanchaceae","Bartsia alpina L., 1753","P",9,2019,2020
