id_releve,x_l93,y_l93,alti,slope,expo,TPI
8659247,948820,6456814,2723.889893,9.694962502,46.77770615,-0.010009766
8659248,948861,6457060,2688.189941,12.53477287,54.61226273,-0.003662109
8659249,948830,6457092,2690.73999,12.71264935,60.44912338,0.024902344
8659250,948788,6457179,2687.72998,13.24110317,57.40684891,0.009765625
8659251,948650,6457341,2690.409912,12.4752636,42.16437912,0.046142578
8659252,948727,6457366,2673.01001,12.86263943,49.35103607,-0.026123047
8659253,948720,6457543,2675.070068,8.684699059,194.7009125,-0.052490234
8659255,948660,6457663,2683.659912,9.475082397,129.6494293,-0.100097656
8659256,948860,6457716,2692.189941,3.213508844,216.3167877,0.012695313
8659257,948938,6457597,2699.659912,15.92869091,123.8586273,0.252441406
8659258,948912,6457440,2673.290039,12.74008846,110.5200195,0.238769531
8659263,949263,6458043,2664.860107,2.56646347,234.5439453,0.057617188
8659268,949044,6457056,2678.600098,0.736568928,262.2238159,-0.039794922
8659271,948986,6456932,2685.120117,5.486971855,92.08283234,0.023925781
8659274,949118,6456970,2681.139893,4.520908833,208.1060486,0.001220703
8659280,949178,6456984,2683.040039,8.460652351,179.9036102,-0.027587891
8659284,949290,6456944,2687.969971,4.260106564,334.9887695,-0.056396484
8659285,949159,6457083,2685.469971,4.759494781,349.093689,0.058837891
8659287,948926,6458252,2617.159912,17.04603577,316.388916,0.084960938
8659289,949240,6458031,2663.399902,5.29462719,223.0303955,0.094970703
8659290,949109,6457126,2678.050049,9.62034893,341.780365,0.105224609
8659291,949071,6457091,2678.800049,2.21885252,346.9444885,0.037597656
8659295,949053,6457257,2651.320068,12.414608,67.07633972,0.007568359
8659300,949129,6457226,2658.129883,8.796420097,20.42062187,0.021484375
8659305,949322,6457223,2641.780029,14.47433758,354.0529785,-0.034912109
8659308,949570,6457811,2558.929932,18.93276978,116.302887,-0.044921875
8659313,949570,6457811,2558.929932,18.93276978,116.302887,-0.044921875
8659326,948859,6457090,2684.320068,13.77682114,57.91297913,-0.011230469
8659328,948794,6456980,2707.72998,11.39337444,59.01541138,-0.023681641
8659330,948726,6457150,2702.840088,11.74814796,57.16949844,-0.013427734
8659331,948721,6457210,2695.459961,13.53542614,56.60847855,-0.011230469
8659332,948862,6457320,2657.800049,8.924542427,83.41831207,-0.227294922
8659346,948945,6457450,2661.080078,23.98766518,111.9378586,0.058837891
8659347,949275,6457930,2655.219971,8.885368347,113.3671875,0.037597656
8659348,948894,6458240,2612.820068,17.30196571,315.7811584,0.027587891
8659351,948945,6457120,2671.219971,4.759494781,349.093689,0.040039063
8659354,948895,6456920,2700.830078,11.34514523,57.51757813,0.049072266
8659357,949156,6457010,2685.050049,4.920826435,216.7399139,-0.018798828
8659360,949174,6456820,2711.02002,19.02832222,334.5877686,0.053710938
8659362,949227,6456800,2727.159912,21.38941193,346.7541504,0.138427734
8659367,949225,6457130,2674.669922,12.63016605,42.10529709,0.082519531
8659369,949046,6457130,2672.889893,13.1165638,331.480072,0.107421875
8659371,949058,6457350,2639.409912,4.075263023,13.5957737,-0.057617188
8659376,949239,6457180,2663.320068,14.7997427,43.46675873,-0.027587891
8659389,949388,6457340,2623.959961,8.482197762,346.9192505,-0.19140625
8659391,949659,6457800,2533.659912,18.97699738,122.3493576,0.006103516
8659393,949869,6458030,2505.209961,5.42868948,81.52017975,-0.190185547
8659395,949809,6458100,2517.939941,12.81583118,59.12376404,0.031005859
8659398,949560,6458060,2573.419922,12.90501595,109.1087494,0.006103516
8659400,948907,6457280,2658.899902,4.870596409,303.2700806,0.003662109
8659401,948876,6457260,2660.659912,10.67630672,68.77763367,-0.081298828
8659402,948723,6457400,2668.77002,11.10234261,56.95692825,-0.021240234
8659404,948682,6457520,2670.899902,7.685545921,206.989212,-0.036621094
8659406,948796,6457580,2686.320068,7.997494221,240.4715424,0.016357422
8659408,948878,6457530,2691.929932,14.86760616,186.5426788,0.122558594
8660602,1007148,6551641,2214.679932,29.27133942,306.5127869,-0.195068359
8660607,1007163,6551709,2200.540039,25.51338768,291.1873474,-0.034667969
8660609,1007166,6551731,2197.899902,23.8354187,279.4778137,-0.012451172
8660611,1007167,6551765,2195.909912,27.0093689,279.9985046,0.071044922
8660613,1007204,6551767,2215.209961,32.95333862,269.7130127,0.038818359
8660614,1007227,6551846,2220.370117,39.97476196,281.9267578,-0.114990234
8660616,1007106,6551806,2161.800049,33.52144623,300.7558899,0.522705078
8660617,1007152,6551708,2194.030029,23.85419846,290.936676,-0.061279297
8660619,1007196,6551722,2214.5,31.61029243,294.732605,-0.090087891
8660620,1007199,6551755,2212.139893,29.17367744,277.6933594,-0.243896484
8660623,1007235,6551724,2230.620117,20.96888351,267.1217041,-0.023681641
8660626,1007253,6551680,2254.909912,47.04372787,304.9328613,-0.483886719
8660629,1007168,6551798,2193.669922,27.30293655,282.98526,-0.087402344
8661038,983897,6474631,2603.52002,9.485208511,64.65940094,-0.008789063
8661039,983641,6474663,2590.909912,7.27596426,43.72937775,0.018798828
8661040,983604,6474717,2589.959961,8.664776802,51.79534149,0.018798828
8661041,983626,6474774,2582.52002,7.359768867,36.18163681,-0.032226563
8661042,983707,6474711,2582.790039,5.572870731,11.08641624,0.038818359
8661043,983846,6474851,2579.860107,15.7292223,41.39956284,0.106445313
8661044,983828,6474950,2550.610107,20.45802498,37.04669571,0
8661045,983776,6474948,2560.060059,19.24271774,47.95954895,-0.053710938
8661046,983771,6475559,2422.219971,18.95671082,51.08610916,-0.036376953
8661048,983832,6475873,2337.219971,15.41205215,32.40718079,0.008789063
8800621,984203,6474105,2682.550049,7.175779819,260.7463684,0.046386719
8845405,983899,6474274,2647.800049,10.94616127,342.548584,0.012451172
8887655,984114,6474267,2668.389893,14.7904129,338.8533325,0.137451172
8971667,984366,6473881,2722.330078,21.04709053,280.5948792,0.108642578
8972997,983758,6474598,2595.340088,3.01052475,24.12587547,0.057617188
8973007,984131,6474187,2675.22998,10.63121986,247.3630829,0.125
9013729,984275,6473984,2689.030029,17.1687336,251.7977142,-0.197509766
9013730,983894,6475512,2411.76001,12.79470539,41.33672333,0.022705078
9014743,984067,6474291,2656.199951,24.78909683,23.81902313,-0.135009766
9014744,984260,6474005,2686.790039,16.00164986,256.8478088,-0.067382813
9014906,984319,6473917,2700.649902,22.57804489,270.999176,-0.022705078
9014907,984455,6473625,2747.340088,24.85718346,240.4466858,0.055175781
9014923,984298,6474020,2706.689941,24.29537392,261.978363,0.157470703
9015195,983916,6475218,2483.909912,29.89526749,317.1140747,-0.228759766
9015196,983757,6475756,2381.840088,11.26310635,15.65739727,0.011230469
9015198,984213,6474140,2682.629883,1.539707303,12.35099888,-0.044921875
9025595,984159,6474177,2678.699951,6.383039951,261.9079285,0.041259766
9036301,983950,6474173,2671.620117,12.20946312,357.9454041,-0.000244141
9146327,984299,6473778,2721.639893,7.800895691,285.1283875,-0.03125
9153892,983895,6474317,2638.419922,14.25816441,339.3189697,-0.059814453
