id_observation,id_releve,code_perso,date_releve_deb,code_gps,x_l93,y_l93,lon_wgs84,lat_wgs84,lieudit,alti_calc,rec_total_pl,rec_arbu_pl,rec_sarb_pl,rec_herba_pl,rec_crypto_pl,substr_roch_pl,substr_bloc_pl,substr_cail_pl,substr_terr_pl,substr_grav_pl,substr_sabl_pl,substr_liti_pl,nom_cite,cd_nom,nom_complet,cd_ref,nom_reconnu_ss_auteur,nom_reconnu,famille,comm_taxon,meta_comm
34878287,10966765,Band : 2003-2008,7/9/2019,P63,1000989.65,6540397.8,6.8833833,45.8966333,Glacier des Pélerins,2287,5-10% (7%),,,,,,50-75% (55%),25-50% (30%),,5-10% (6%),<5% (2%),,"Avenella flexuosa (L.) Drejer, 1838",85418,"Avenella flexuosa (L.) Drejer, 1838",85418,Avenella flexuosa,"Avenella flexuosa (L.) Drejer, 1838",Poaceae,+;10;NA;1;NA;NA;0,ROCVEG : P-63 ; Band : 2003-2008 ; Plant cover :  4% ; BSC : 3% ; Moss : 3% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 3
34878279,10966765,Band : 2003-2008,7/9/2019,P63,1000989.65,6540397.8,6.8833833,45.8966333,Glacier des Pélerins,2287,5-10% (7%),,,,,,50-75% (55%),25-50% (30%),,5-10% (6%),<5% (2%),,"Oxyria digyna (L.) Hill, 1768",111960,"Oxyria digyna (L.) Hill, 1768",111960,Oxyria digyna,"Oxyria digyna (L.) Hill, 1768",Polygonaceae,1;15;NA;NA;NA;NA;1,ROCVEG : P-63 ; Band : 2003-2008 ; Plant cover :  4% ; BSC : 3% ; Moss : 3% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 3
34878281,10966765,Band : 2003-2008,7/9/2019,P63,1000989.65,6540397.8,6.8833833,45.8966333,Glacier des Pélerins,2287,5-10% (7%),,,,,,50-75% (55%),25-50% (30%),,5-10% (6%),<5% (2%),,"Luzula alpinopilosa (Chaix) Breistr., 1947",106813,"Luzula alpinopilosa (Chaix) Breistr., 1947",106813,Luzula alpinopilosa,"Luzula alpinopilosa (Chaix) Breistr., 1947",Juncaceae,1;20;NA;NA;NA;NA;1,ROCVEG : P-63 ; Band : 2003-2008 ; Plant cover :  4% ; BSC : 3% ; Moss : 3% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 3
34878282,10966765,Band : 2003-2008,7/9/2019,P63,1000989.65,6540397.8,6.8833833,45.8966333,Glacier des Pélerins,2287,5-10% (7%),,,,,,50-75% (55%),25-50% (30%),,5-10% (6%),<5% (2%),,"Salix appendiculata Vill., 1789",119933,"Salix appendiculata Vill., 1789",119933,Salix appendiculata,"Salix appendiculata Vill., 1789",Salicaceae,+;8;NA;NA;NA;NA;0,ROCVEG : P-63 ; Band : 2003-2008 ; Plant cover :  4% ; BSC : 3% ; Moss : 3% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 3
34878283,10966765,Band : 2003-2008,7/9/2019,P63,1000989.65,6540397.8,6.8833833,45.8966333,Glacier des Pélerins,2287,5-10% (7%),,,,,,50-75% (55%),25-50% (30%),,5-10% (6%),<5% (2%),,"Saxifraga bryoides L., 1753",120988,"Saxifraga bryoides L., 1753",120988,Saxifraga bryoides,"Saxifraga bryoides L., 1753",Saxifragaceae,+;1;NA;NA;NA;NA;0,ROCVEG : P-63 ; Band : 2003-2008 ; Plant cover :  4% ; BSC : 3% ; Moss : 3% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 3
34878284,10966765,Band : 2003-2008,7/9/2019,P63,1000989.65,6540397.8,6.8833833,45.8966333,Glacier des Pélerins,2287,5-10% (7%),,,,,,50-75% (55%),25-50% (30%),,5-10% (6%),<5% (2%),,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",134114,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",134114,Epilobium dodonaei subsp. fleischeri,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",Onagraceae,1;7;NA;NA;NA;NA;0,ROCVEG : P-63 ; Band : 2003-2008 ; Plant cover :  4% ; BSC : 3% ; Moss : 3% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 3
34878285,10966765,Band : 2003-2008,7/9/2019,P63,1000989.65,6540397.8,6.8833833,45.8966333,Glacier des Pélerins,2287,5-10% (7%),,,,,,50-75% (55%),25-50% (30%),,5-10% (6%),<5% (2%),,"Athyrium distentifolium Tausch ex Opiz, 1820",84998,"Athyrium distentifolium Tausch ex Opiz, 1820",84998,Athyrium distentifolium,"Athyrium distentifolium Tausch ex Opiz, 1820",Athyriaceae,+;5;NA;NA;NA;NA;0,ROCVEG : P-63 ; Band : 2003-2008 ; Plant cover :  4% ; BSC : 3% ; Moss : 3% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 3
34878396,10966784,Band : 2008-2018,7/9/2019,P87,1001044.02,6540213.31,6.8839667,45.89495,Glacier des Pélerins,2334,<5% (2%),,,,,,50-75% (70%),25-50% (25%),,<5% (2%),<5% (1%),,"Silene acaulis (L.) Jacq., 1762",123374,"Silene acaulis (L.) Jacq., 1762",123374,Silene acaulis,"Silene acaulis (L.) Jacq., 1762",Caryophyllaceae,+;2;NA;NA;NA;NA;0,ROCVEG : P-87 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 1
34878398,10966784,Band : 2008-2018,7/9/2019,P87,1001044.02,6540213.31,6.8839667,45.89495,Glacier des Pélerins,2334,<5% (2%),,,,,,50-75% (70%),25-50% (25%),,<5% (2%),<5% (1%),,"Oxyria digyna (L.) Hill, 1768",111960,"Oxyria digyna (L.) Hill, 1768",111960,Oxyria digyna,"Oxyria digyna (L.) Hill, 1768",Polygonaceae,+;10;NA;NA;NA;NA;1,ROCVEG : P-87 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 1
34878399,10966784,Band : 2008-2018,7/9/2019,P87,1001044.02,6540213.31,6.8839667,45.89495,Glacier des Pélerins,2334,<5% (2%),,,,,,50-75% (70%),25-50% (25%),,<5% (2%),<5% (1%),,"Picea abies (L.) H.Karst., 1881",113432,"Picea abies (L.) H.Karst., 1881",113432,Picea abies,"Picea abies (L.) H.Karst., 1881",Pinaceae,+;8;NA;NA;NA;NA;0,ROCVEG : P-87 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 1
