nom_complet,tax_type,cd_type_biolo1,lb_phyto_1,lb_phyto_2,cd_ref,9015196,10966765,10966770,10966776,10966780,10966784,10966786,8660602,8660607,8660609,8660611,8660613,8660614,8660616,8660617,8660619,8660620,8660623,8660626,8660629,10401733,10401735,10401736,10401737,10401738,10401739,10401740,10401741,10401742,10401743,10401744,10401745,10401746,10401892,10401893,10401894,10401896,10401897,10401898,10401899,10404303,10406707,10406718,10406723,10406726,10406729,10407646,10407647,10407649,10407650,10407651,10407652,10407653,10407654,10407656,10407658,10966110,10407664,10407665,10407666,10407671,10407674,10407676,10407681,10407684,10407895,10407900,10407906,10407910,10407912,10407916,10407919,12127007,12127009,10400805,12127008,12126999,12126998,12126997,12126995,12126994,12126993,12126991,12126990,12126989,10966757,10966752,10966741,10966739,10966738,10966736,10966735,8659331,12123312,8659393,8659287,12123350,12123348,12123347,12123345,12123335,12123321,12123315,12123303,12123302,12123300,12123299,12123275,12123272,12123271,12123269,12123261,12123260,12123258,12118051,12118028,12118027,12118025,12118015,12118014,12118013,12118012,12118011,12117939,12117938,12117937,12117934,12117932,12117930,12117928,12117927,12117926,12117924,12117923,12117909,12117908,12117906,12117905,12117901,12117899,12117852,12117848,12117811,12117808,12117804,12117800,12117792,8659347,8659395,8659369,8659362,8659357,8659354,8659351,8659346,8659290,8659285,8659258,8659252,8659250,8659248,8659289,8659348,8659398,8659308,8659305,8659300,8659291,8659284,8659280,8659274,8659271,8659268,8659263,8659257,8659256,8659255,8659253,8659251,8659249,8659247,8659391,8659389,8659376,8659367,8659360,8659408,8659406,8659404,8659402,8659401,8659400,8659332,8659330,8659328,8661045,8659326,8659313,8661039,8661041,8661040,8661038,8887655,8659295,8659371,8661042,8661043,8661044,9888675,9888674,9177884,10400946,9888676,8661048,8661046,9013729,9153892,10971327,10971318,10971270,10971262,10966751,10966744,10966733,10400950,9792133,9888677,9014743,9866427,10401601,10971320,10971303,10401628,10971323,10408099,10971316,10408065,10971345,10971343,10971342,10971341,10971339,10971331,10971330,10971329,10971328,10971326,10971325,10971319,10971317,10971315,10971314,10971313,10971312,10971311,10971310,10971307,10971306,10971305,10971304,10971302,10971300,10971298,10971297,10971295,10971294,10971292,10971290,10971289,10971288,10971287,10971285,10971284,10971283,10971280,10971279,10971277,10971276,10971275,10971274,10971273,10971272,10971269,10971268,10971267,10971266,10971261,10971260,10971257,10971256,10971265,10971264,10971263,10971278,10971282,10971281,10971299,10971293,10971308,10971324,10971322,10971335,10971334,10971333,10971332,10971338,10971337,10971336,10971348,10971344,10971271,10971259,9998878,10966759,10966754,9989430,9960374,9953065,9906648,9146327,9025595,9842463,9036301,9729999,9015195,9014744,9014906,9013730,9014923,10401614,10401268,10401610,10400824,10401604,10400936,10400939,10400821,10400816,10400823,10400806,10400811,10401618,10401621,10401624,10401270,10408085,10408070,10408097,10408080,10408074,10408072,10407931,10407935,10407939,10408083,10408068,10408076,10408079,10408078,10401639,10401632,10401642,10401640,10401616,9948798,9989424,10971296,10971340,9889812,9373264,9675988,10971258,10971321,10971301,10971291,10971286,10971347,10408098,9881474,8845405,10401635,10401637,8972997,9340315,9015198,8971667,8800621,8973007,9948953,10400941,9851354,10401606,9906273,9889811,9888678,9906647,10400948,9989431,10400944,10400943,9989425,10966743,9889813,9014907,10971309,nb_valeur
"Acer pseudoplatanus L., 1753",P,,,,79783,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909",P,,,,130729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,X,X,,X,X,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,X,,,,,,22
"Achillea nana L., 1753",P,,,,79913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,X,X,X,,X,X,,,X,X,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,X,,,,X,,,X,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,,,X,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,34
"Adenostyles alliariae (Gouan) A.Kern., 1871",P,,,,80183,,,,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Adenostyles alpina (L.) Bluff & Fingerh., 1825",P,,,,80184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,22
"Adenostyles leucophylla (Willd.) Rchb., 1831",P,,,,80190,X,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,X,,,X,X,X,,,,,,,X,,,,,,X,,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,X,,X,,,,,X,X,,,,,,,,,,,,,X,,,X,X,,X,X,,,,,,,X,X,X,,X,,,,X,,,,,X,,,,X,,X,,X,,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,46
"Agrostis alpina Scop., 1771",P,,,,80564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Agrostis rupestris All., 1785",P,,,,80729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,X,,,X,X,,,,,,X,,,,X,,,,X,,,,X,X,X,,,X,X,,,,,,,,,,X,,,,X,X,X,,,,,,X,,,X,,X,X,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,27
"Agrostis rupestris var. rupestris All., 1785",P,,,,613160,,,,,,,,X,,X,X,,X,X,,X,X,X,X,X,,,,,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,X,X,,,X,,X,X,X,,,,X,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,,X,,,,,,,X,,,,X,X,X,,,X,,,,X,,,,X,,,,,,,X,,,,,,,X,,,,,X,,,X,X,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,X,X,,,,,,,,,,X,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,X,,X,,,X,,,X,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,X,X,,,,,,93
"Agrostis schraderiana Bech., 1938",P,,,,80741,,,X,,X,,,X,,X,,,X,X,X,,X,X,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,X,X,,X,X,X,,,,,X,,X,X,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,X,X,,,,,,,,,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,X,X,X,X,X,X,X,,,,,X,,X,X,,,,X,X,X,X,,X,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,X,,X,,,,,X,,X,X,,,,,,65
