id_releve,orga_fournisseur,programmes,date_releve_deb,date_releve_fin,releve_type,observateurs,insee,lieudit,comm_loc,comm_milieu,lithologie,geologie,exposition,pente,rec_total,refbiblio,page,code_perso,id_precision,x_l93,y_l93
8659247,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin,Glacier de Saint-Sorlin,Marge proglaciaire,,,,,<5%,,,Band : 1,P,948820,6456814
8659248,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin,Glacier de Saint-Sorlin,Marge proglaciaire,,,,,10-25%,,,Band : 1,P,948861,6457060
8659249,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin,Glacier de Saint-Sorlin,Marge proglaciaire ; Slab : 6,,,,,5-10%,,,Band : 1,P,948830,6457092
8659250,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire ; Slab : 6 ; décalé car neige,,,,,<5%,,,Band : 1,P,948788,6457179
8659251,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire ; décalé car neige,,,,,<5%,,,Band : 1,P,948650,6457341
8659252,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire ; décalé car neige,,,,,<5%,,,Band : 1,P,948727,6457366
8659253,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,<5%,,,Band : 2,P,948720,6457543
8659255,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,<5%,,,Band : 3,P,948660,6457663
8659256,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,25-50%,,,Band : 3,P,948860,6457716
8659257,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,>75%,,,Band : 3,P,948938,6457597
8659258,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,10-25%,,,Band : 2,P,948912,6457440
8659263,Conservatoire botanique national alpin,ROCVEG,7/21/2020,7/21/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,10-25%,,,Band : LIA,P,949263,6458043
8659268,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire ; Slab : 20,,,,,5-10%,,,Band : 2,P,949044,6457056
8659271,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,10-25%,,,Band : 2,P,948986,6456932
8659274,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,5-10%,,,Band : 2,P,949118,6456970
8659280,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,50-75%,,,Band : 2,P,949178,6456984
8659284,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,5-10%,,,Band : 3,P,949290,6456944
8659285,Conservatoire botanique national alpin,ROCVEG,7/22/2020,7/22/2020,Relevé de terrain,VALLEE Sophie / ISENMANN Marc / MERHAN Baptiste / SEGURA Paul / PERRON Rémy,73280,Glacier de Saint-Sorlin ,Glacier de Saint-Sorlin ,Marge proglaciaire,,,,,50-75%,,,Band : 3,P,949159,6457083
