cd_ref,famille,nom_valide,tax_type,nbre_obs,annee_min,annee_max
1,,ZZ non rattachable , ,3,2020,2020
2,,ZZ relevé sans végétation, ,30,2019,2020
3,,Zz Taxon à vérifier , ,1,2020,2020
7,,Zz Mousses , ,1,2020,2020
79783,Sapindaceae,"Acer pseudoplatanus L., 1753",P,3,2019,2019
79913,Asteraceae,"Achillea nana L., 1753",P,34,2019,2020
80183,Asteraceae,"Adenostyles alliariae (Gouan) A.Kern., 1871",P,3,2019,2019
80184,Asteraceae,"Adenostyles alpina (L.) Bluff & Fingerh., 1825",P,22,2019,2020
80190,Asteraceae,"Adenostyles leucophylla (Willd.) Rchb., 1831",P,46,2019,2020
80564,Poaceae,"Agrostis alpina Scop., 1771",P,2,2019,2019
80729,Poaceae,"Agrostis rupestris All., 1785",P,27,2019,2020
80741,Poaceae,"Agrostis schraderiana Bech., 1938",P,65,2019,2020
81032,Rosaceae,"Alchemilla alpigena Buser, 1894",P,1,2019,2019
81033,Rosaceae,"Alchemilla alpina L., 1753",P,23,2019,2020
81055,Rosaceae,"Alchemilla colorata Buser, 1892",P,1,2019,2019
81075,Rosaceae,"Alchemilla fissa Günther & Schummel, 1819",P,3,2019,2020
81088,Rosaceae,"Alchemilla glabra Neygenf., 1821",P,1,2019,2019
81140,Rosaceae,"Alchemilla pentaphyllea L., 1753",P,3,2019,2019
81159,Rosaceae,"Alchemilla saxatilis Buser, 1891",P,4,2019,2020
81179,Rosaceae,"Alchemilla transiens (Buser) Buser, 1898",P,6,2019,2019
81563,Betulaceae,"Alnus alnobetula (Ehrh.) K.Koch, 1872",P,3,2019,2019
81638,Poaceae,"Alopecurus gerardi Vill., 1786",P,5,2019,2019
82478,Primulaceae,"Androsace alpina (L.) Lam., 1779",P,9,2019,2020
82519,Primulaceae,"Androsace obtusifolia All., 1785",P,2,2019,2020
82529,Primulaceae,"Androsace pubescens DC., 1805",P,1,2019,2019
82796,Asteraceae,"Antennaria dioica (L.) Gaertn., 1791",P,3,2019,2020
82914,Poaceae,"Anthoxanthum alpinum Á.Löve & D.Löve, 1948",P,42,2019,2020
82922,Poaceae,"Anthoxanthum odoratum L., 1753",P,4,2019,2020
82999,Fabaceae,"Anthyllis vulneraria L., 1753",P,2,2019,2019
83279,Brassicaceae,"Arabis alpina L., 1753",P,46,2019,2020
83296,Brassicaceae,"Arabis caerulea (All.) Haenke, 1789",P,9,2019,2020
83303,Brassicaceae,"Arabis ciliata Clairv., 1811",P,1,2019,2019
83528,Ericaceae,"Arctostaphylos uva-ursi (L.) Spreng., 1825",P,4,2019,2020
83808,Plumbaginaceae,"Armeria alpina Willd., 1809",P,8,2019,2020
83973,Asteraceae,"Artemisia genipi Weber, 1775",P,34,2019,2020
84053,Asteraceae,"Artemisia umbelliformis Lam., 1783",P,46,2019,2020
84526,Aspleniaceae,"Asplenium septentrionale (L.) Hoffm., 1796",P,1,2019,2019
84534,Aspleniaceae,"Asplenium trichomanes L., 1753",P,1,2019,2019
84540,Aspleniaceae,"Asplenium viride Huds., 1762",P,1,2020,2020
84937,Apiaceae,"Astrantia minor L., 1753",P,2,2019,2019
84998,Athyriaceae,"Athyrium distentifolium Tausch ex Opiz, 1820",P,11,2019,2020
84999,Athyriaceae,"Athyrium filix-femina (L.) Roth, 1799",P,1,2019,2019
85418,Poaceae,"Avenella flexuosa (L.) Drejer, 1838",P,23,2019,2020
85602,Orobanchaceae,"Bartsia alpina L., 1753",P,9,2019,2020
85903,Betulaceae,"Betula pendula Roth, 1788",P,6,2019,2020
85904,Betulaceae,"Betula pubescens Ehrh., 1791",P,8,2019,2020
86082,Polygonaceae,"Bistorta vivipara (L.) Delarbre, 1800",P,1,2019,2019
86183,Ophioglossaceae,"Botrychium lunaria (L.) Sw., 1801",P,9,2019,2020
86301,Poaceae,"Brachypodium rupestre (Host) Roem. & Schult., 1817",P,1,2019,2019
87100,Apiaceae,"Bupleurum stellatum L., 1753",P,1,2020,2020
87299,Poaceae,"Calamagrostis villosa (Chaix) J.F.Gmel., 1791",P,2,2019,2019
87501,Ericaceae,"Calluna vulgaris (L.) Hull, 1808",P,5,2019,2020
87607,Campanulaceae,"Campanula barbata L., 1759",P,3,2020,2020
87618,Campanulaceae,"Campanula cenisia L., 1763",P,2,2020,2020
87622,Campanulaceae,"Campanula cochleariifolia Lam., 1785",P,37,2019,2020
87716,Campanulaceae,"Campanula rhomboidalis L., 1753",P,1,2019,2019
87724,Campanulaceae,"Campanula scheuchzeri Vill., 1779",P,24,2019,2020
87891,Brassicaceae,"Cardamine alpina Willd., 1800",P,12,2019,2020
87970,Brassicaceae,"Cardamine resedifolia L., 1753",P,48,2019,2020
88108,Asteraceae,"Carduus defloratus L., 1759",P,2,2019,2020
88359,Cyperaceae,"Carex atrata L., 1753",P,4,2019,2020
88470,Cyperaceae,"Carex digitata L., 1753",P,1,2019,2019
88504,Cyperaceae,"Carex ferruginea Scop., 1772",P,1,2019,2019
88515,Cyperaceae,"Carex foetida All., 1785",P,4,2019,2019
88519,Cyperaceae,"Carex frigida All., 1785",P,7,2019,2020
88708,Cyperaceae,"Carex myosuroides Vill., 1779",P,1,2019,2019
88747,Cyperaceae,"Carex pallescens L., 1753",P,1,2019,2019
88756,Cyperaceae,"Carex parviflora Host, 1801",P,5,2019,2020
88865,Cyperaceae,"Carex sempervirens Vill., 1787",P,3,2019,2020
90071,Caryophyllaceae,"Cerastium pedunculatum Gaudin, 1828",P,50,2019,2020
90076,Caryophyllaceae,"Cerastium pumilum Curtis, 1777",P,1,2019,2019
90116,Caryophyllaceae,"Cerastium uniflorum Clairv., 1811",P,20,2020,2020
90359,Apiaceae,"Chaerophyllum villarsii W.D.J.Koch, 1837",P,1,2019,2019
90863,Caryophyllaceae,"Cherleria sedoides L., 1753",P,7,2019,2020
