id_observation,id_observation_sinp,id_releve,id_releve_sinp,code_perso,id_releve_type,lib_biblio,nom_herbier,nom_org_f,lib_releve_methode,date_releve_deb,date_releve_fin,nom_obs,id_precision,resolution,code_gps,id_maille_inpn_5,id_maille_inpn_10,x_l93,y_l93,lon_wgs84,lat_wgs84,insee_comm,commune,insee_dept,lieudit,comm_loc,pays,alti_inf,alti_calc,alti_sup,surface,plage_surface,comm_milieu,lib_geologie,lib_lithologie,comm_litho,lib_exposition,pente,plage_pente,lib_hab_eunis,cd_hab_eunis,cd_hab_ch,lib_hab_ch,lib_hab_sbf,cd_hab_sbf,cd_ref_phyto,lib_syntaxon,rec_total_pl,haut_total,rec_arbo_pl,haut_arbo,rec_arbu_pl,haut_arbu,rec_sarb_pl,haut_sarb,rec_herba_pl,haut_herba,rec_crypto_pl,haut_crypto,substr_roch_pl,substr_bloc_pl,substr_cail_pl,substr_terr_pl,substr_grav_pl,substr_sabl_pl,substr_liti_pl,substr_tuf_pl,nom_cite,cd_nom,nom_complet,cd_ref,nom_reconnu,tax_type,famille,plage_nb_pieds,nombre_pieds,lib_strate,lib_phenologie1,lib_phenologie2,lib_deg_nat,abondance,sociab,lib_herbier,part_herbier1,comm_taxon,meta_original_id_obs,nom_programme,lib_org_comm,meta_comm,meta_original_id_rel,meta_original_bdd,sinp_dspublique,valid_reg
34900905,bf87771a-67ee-461b-9963-3e27dc3c19bc,10971337,e69b71f5-7418-401f-8b71-0dd84ab151e4,Band : B1,RT,,,Parc National des Ecrins,Relevé de suivi (quadrats),7/19/2019,7/19/2019,DENTANT Cédric / CHAUVEAU Aristide,P,1,B1_04,5kmL93E0965N6430,10kmL93E096N643,968555.39,6432149.38,6.405282492,44.93642267,5101,Vallouise-Pelvoux,5,Glacier Blanc,,FR,,2527,,,,Marge pro-glaciaire,,,,Plat (peu marquée),,,,,,,,,,,,,,,<5% (0%),,<5% (0%),,25-50% (31%),,<5% (0%),,,25-50% (25%),10-25% (20%),,10-25% (14%),5-10% (3%),<5% (0%),,Agrostis schraderiana,80741,"Agrostis schraderiana Bech., 1938",80741,"Agrostis schraderiana Bech., 1938",P,Poaceae,,,,,,,,,,,"Recouvrement relatif : 0,166666667",,ROCVEG,,Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Litière : 0 ; Mousses humides : 0 ; Herbacées : 31 ; Ligneux très bas : 0 ; Ligneux bas : 0 ; Déglaciation : 2012 ; Age : 7,,glacier_blanc.csv,Donnée publique,Non validée
34900906,42b72454-c417-4a14-ab6c-cd418e2772b5,10971337,e69b71f5-7418-401f-8b71-0dd84ab151e4,Band : B1,RT,,,Parc National des Ecrins,Relevé de suivi (quadrats),7/19/2019,7/19/2019,DENTANT Cédric / CHAUVEAU Aristide,P,1,B1_04,5kmL93E0965N6430,10kmL93E096N643,968555.39,6432149.38,6.405282492,44.93642267,5101,Vallouise-Pelvoux,5,Glacier Blanc,,FR,,2527,,,,Marge pro-glaciaire,,,,Plat (peu marquée),,,,,,,,,,,,,,,<5% (0%),,<5% (0%),,25-50% (31%),,<5% (0%),,,25-50% (25%),10-25% (20%),,10-25% (14%),5-10% (3%),<5% (0%),,Arabis alpina,83279,"Arabis alpina L., 1753",83279,"Arabis alpina L., 1753",P,Brassicaceae,,,,,,,,,,,"Recouvrement relatif : 0,166666667",,ROCVEG,,Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Litière : 0 ; Mousses humides : 0 ; Herbacées : 31 ; Ligneux très bas : 0 ; Ligneux bas : 0 ; Déglaciation : 2012 ; Age : 7,,glacier_blanc.csv,Donnée publique,Non validée
34900907,bea91e0e-219a-4211-a758-e4e707d9fbed,10971337,e69b71f5-7418-401f-8b71-0dd84ab151e4,Band : B1,RT,,,Parc National des Ecrins,Relevé de suivi (quadrats),7/19/2019,7/19/2019,DENTANT Cédric / CHAUVEAU Aristide,P,1,B1_04,5kmL93E0965N6430,10kmL93E096N643,968555.39,6432149.38,6.405282492,44.93642267,5101,Vallouise-Pelvoux,5,Glacier Blanc,,FR,,2527,,,,Marge pro-glaciaire,,,,Plat (peu marquée),,,,,,,,,,,,,,,<5% (0%),,<5% (0%),,25-50% (31%),,<5% (0%),,,25-50% (25%),10-25% (20%),,10-25% (14%),5-10% (3%),<5% (0%),,Artemisia umbelliformis,84053,"Artemisia umbelliformis Lam., 1783",84053,"Artemisia umbelliformis Lam., 1783",P,Asteraceae,,,,,,,,,,,"Recouvrement relatif : 0,166666667",,ROCVEG,,Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Litière : 0 ; Mousses humides : 0 ; Herbacées : 31 ; Ligneux très bas : 0 ; Ligneux bas : 0 ; Déglaciation : 2012 ; Age : 7,,glacier_blanc.csv,Donnée publique,Non validée
34900908,fc38e59a-b636-475a-9d0e-5050a97f5d75,10971337,e69b71f5-7418-401f-8b71-0dd84ab151e4,Band : B1,RT,,,Parc National des Ecrins,Relevé de suivi (quadrats),7/19/2019,7/19/2019,DENTANT Cédric / CHAUVEAU Aristide,P,1,B1_04,5kmL93E0965N6430,10kmL93E096N643,968555.39,6432149.38,6.405282492,44.93642267,5101,Vallouise-Pelvoux,5,Glacier Blanc,,FR,,2527,,,,Marge pro-glaciaire,,,,Plat (peu marquée),,,,,,,,,,,,,,,<5% (0%),,<5% (0%),,25-50% (31%),,<5% (0%),,,25-50% (25%),10-25% (20%),,10-25% (14%),5-10% (3%),<5% (0%),,Cerastium arvense subsp. strictum,133087,"Cerastium arvense subsp. strictum Gaudin, 1828",133087,"Cerastium arvense subsp. strictum Gaudin, 1828",P,Caryophyllaceae,,,,,,,,,,,Recouvrement relatif : 1,,ROCVEG,,Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Litière : 0 ; Mousses humides : 0 ; Herbacées : 31 ; Ligneux très bas : 0 ; Ligneux bas : 0 ; Déglaciation : 2012 ; Age : 7,,glacier_blanc.csv,Donnée publique,Non validée
34900909,2d496bf5-a75d-46c4-8537-fc6a55658aae,10971337,e69b71f5-7418-401f-8b71-0dd84ab151e4,Band : B1,RT,,,Parc National des Ecrins,Relevé de suivi (quadrats),7/19/2019,7/19/2019,DENTANT Cédric / CHAUVEAU Aristide,P,1,B1_04,5kmL93E0965N6430,10kmL93E096N643,968555.39,6432149.38,6.405282492,44.93642267,5101,Vallouise-Pelvoux,5,Glacier Blanc,,FR,,2527,,,,Marge pro-glaciaire,,,,Plat (peu marquée),,,,,,,,,,,,,,,<5% (0%),,<5% (0%),,25-50% (31%),,<5% (0%),,,25-50% (25%),10-25% (20%),,10-25% (14%),5-10% (3%),<5% (0%),,Epilobium anagallidifolium,96134,"Epilobium anagallidifolium Lam., 1786",96134,"Epilobium anagallidifolium Lam., 1786",P,Onagraceae,,,,,,,,,,,"Recouvrement relatif : 0,166666667",,ROCVEG,,Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Litière : 0 ; Mousses humides : 0 ; Herbacées : 31 ; Ligneux très bas : 0 ; Ligneux bas : 0 ; Déglaciation : 2012 ; Age : 7,,glacier_blanc.csv,Donnée publique,Non validée
34900910,f03aee1b-0fe7-4eaa-b10e-2f4b0641acbb,10971337,e69b71f5-7418-401f-8b71-0dd84ab151e4,Band : B1,RT,,,Parc National des Ecrins,Relevé de suivi (quadrats),7/19/2019,7/19/2019,DENTANT Cédric / CHAUVEAU Aristide,P,1,B1_04,5kmL93E0965N6430,10kmL93E096N643,968555.39,6432149.38,6.405282492,44.93642267,5101,Vallouise-Pelvoux,5,Glacier Blanc,,FR,,2527,,,,Marge pro-glaciaire,,,,Plat (peu marquée),,,,,,,,,,,,,,,<5% (0%),,<5% (0%),,25-50% (31%),,<5% (0%),,,25-50% (25%),10-25% (20%),,10-25% (14%),5-10% (3%),<5% (0%),,Epilobium dodonaei subsp. fleischeri,134114,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",134114,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",P,Onagraceae,,,,,,,,,,,Recouvrement relatif : 1,,ROCVEG,,Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Litière : 0 ; Mousses humides : 0 ; Herbacées : 31 ; Ligneux très bas : 0 ; Ligneux bas : 0 ; Déglaciation : 2012 ; Age : 7,,glacier_blanc.csv,Donnée publique,Non validée
34900911,6ec14ba6-1e01-49f8-816a-9f414645c788,10971337,e69b71f5-7418-401f-8b71-0dd84ab151e4,Band : B1,RT,,,Parc National des Ecrins,Relevé de suivi (quadrats),7/19/2019,7/19/2019,DENTANT Cédric / CHAUVEAU Aristide,P,1,B1_04,5kmL93E0965N6430,10kmL93E096N643,968555.39,6432149.38,6.405282492,44.93642267,5101,Vallouise-Pelvoux,5,Glacier Blanc,,FR,,2527,,,,Marge pro-glaciaire,,,,Plat (peu marquée),,,,,,,,,,,,,,,<5% (0%),,<5% (0%),,25-50% (31%),,<5% (0%),,,25-50% (25%),10-25% (20%),,10-25% (14%),5-10% (3%),<5% (0%),,Leucanthemopsis alpina,105765,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina (L.) Heywood, 1975",P,Asteraceae,,,,,,,,,,,"Recouvrement relatif : 0,166666667",,ROCVEG,,Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Litière : 0 ; Mousses humides : 0 ; Herbacées : 31 ; Ligneux très bas : 0 ; Ligneux bas : 0 ; Déglaciation : 2012 ; Age : 7,,glacier_blanc.csv,Donnée publique,Non validée
34900912,2cb028e3-c8b5-4aed-ac9d-771a4708c0af,10971337,e69b71f5-7418-401f-8b71-0dd84ab151e4,Band : B1,RT,,,Parc National des Ecrins,Relevé de suivi (quadrats),7/19/2019,7/19/2019,DENTANT Cédric / CHAUVEAU Aristide,P,1,B1_04,5kmL93E0965N6430,10kmL93E096N643,968555.39,6432149.38,6.405282492,44.93642267,5101,Vallouise-Pelvoux,5,Glacier Blanc,,FR,,2527,,,,Marge pro-glaciaire,,,,Plat (peu marquée),,,,,,,,,,,,,,,<5% (0%),,<5% (0%),,25-50% (31%),,<5% (0%),,,25-50% (25%),10-25% (20%),,10-25% (14%),5-10% (3%),<5% (0%),,Poa cenisia,114151,"Poa cenisia All., 1789",114151,"Poa cenisia All., 1789",P,Poaceae,,,,,,,,,,,Recouvrement relatif : 6,,ROCVEG,,Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Litière : 0 ; Mousses humides : 0 ; Herbacées : 31 ; Ligneux très bas : 0 ; Ligneux bas : 0 ; Déglaciation : 2012 ; Age : 7,,glacier_blanc.csv,Donnée publique,Non validée
34900913,11db40a3-58ee-42a9-a26f-6884ca5cc201,10971337,e69b71f5-7418-401f-8b71-0dd84ab151e4,Band : B1,RT,,,Parc National des Ecrins,Relevé de suivi (quadrats),7/19/2019,7/19/2019,DENTANT Cédric / CHAUVEAU Aristide,P,1,B1_04,5kmL93E0965N6430,10kmL93E096N643,968555.39,6432149.38,6.405282492,44.93642267,5101,Vallouise-Pelvoux,5,Glacier Blanc,,FR,,2527,,,,Marge pro-glaciaire,,,,Plat (peu marquée),,,,,,,,,,,,,,,<5% (0%),,<5% (0%),,25-50% (31%),,<5% (0%),,,25-50% (25%),10-25% (20%),,10-25% (14%),5-10% (3%),<5% (0%),,Poa laxa,114262,"Poa laxa Haenke, 1791",114262,"Poa laxa Haenke, 1791",P,Poaceae,,,,,,,,,,,"Recouvrement relatif : 0,166666667",,ROCVEG,,Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Litière : 0 ; Mousses humides : 0 ; Herbacées : 31 ; Ligneux très bas : 0 ; Ligneux bas : 0 ; Déglaciation : 2012 ; Age : 7,,glacier_blanc.csv,Donnée publique,Non validée
34900914,70fb7f44-b009-4359-b322-ebbc0ff3b641,10971337,e69b71f5-7418-401f-8b71-0dd84ab151e4,Band : B1,RT,,,Parc National des Ecrins,Relevé de suivi (quadrats),7/19/2019,7/19/2019,DENTANT Cédric / CHAUVEAU Aristide,P,1,B1_04,5kmL93E0965N6430,10kmL93E096N643,968555.39,6432149.38,6.405282492,44.93642267,5101,Vallouise-Pelvoux,5,Glacier Blanc,,FR,,2527,,,,Marge pro-glaciaire,,,,Plat (peu marquée),,,,,,,,,,,,,,,<5% (0%),,<5% (0%),,25-50% (31%),,<5% (0%),,,25-50% (25%),10-25% (20%),,10-25% (14%),5-10% (3%),<5% (0%),,Rumex scutatus,119587,"Rumex scutatus L., 1753",119587,"Rumex scutatus L., 1753",P,Polygonaceae,,,,,,,,,,,Recouvrement relatif : 8,,ROCVEG,,Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Litière : 0 ; Mousses humides : 0 ; Herbacées : 31 ; Ligneux très bas : 0 ; Ligneux bas : 0 ; Déglaciation : 2012 ; Age : 7,,glacier_blanc.csv,Donnée publique,Non validée
