cd_ref,famille,nom_valide,nom_cite,cd_nom,nom_reconnu,nom_reconnu_ss_date,nom_reconnu_ss_auteur,ID,rang_taxinomique,N°_Taxinomique_BDNFF,N°_Nomenclatural_BDNFF,code_CATMINAT,NOM_SCIENTIFIQUE,CHOROLOGIE,inflorescence,sexualité,ordre_maturation,pollinisation,fruit,dissémination,couleur_fleur,macule,floraison,type_ligneux,Champ17,TYPE_BIOLOGIQUE,FORMATION_VEGETALE,CARACT_ECOLOG_HABITAT_OPTI,INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE,INDICATION_CARACTERISTIQUE_TRANSGRESSIVE,INDICATION_DIFFERENTIELLE_1,INDICATION_DIFFERENTIELLE_2,INDICATION_DIFFERENTIELLE_3,Lumière,Température,Continentalité,Humidité_atmosphérique,Humidité_édaphique,Réaction_du_sol_(pH),Niveau_trophique,Salinité,Texture,Matière_organique,Lichtzahl,Temperaturzahl,Kontinentalität,Feuchtzahl,Reaktionszahl,Nutrients,Salz,CLASSE_(-opsida),SUBCLASSE_(-idae),Clade_intermédiaire,SUPERORDRE_(-anae),Champ47,Champ48,Champ49,ORDRE_(-ales),FAMILLE_(-aceae),numSpA,numSpB,numSpH,nomA,nomB,nomH
79783,Sapindaceae,"Acer pseudoplatanus L., 1753","Acer pseudoplatanus L., 1753",79783,"Acer pseudoplatanus L., 1753",Acer pseudoplatanus L.,Acer pseudoplatanus,30,esp,11,210,18/1.,Acer pseudoplatanus L.,européen,racème de cymes unipares scorpioïdes,polygame,,anémogame,samare,anémochore,vert,,5,arbre,38,A-cad,magnophanérophytaie,"associations arborescentes des forêts et bois caducifoliés climaciques, malacophylles, du tempéré modal médio-européen",σA Fraxino excelsioris - Quercetea roboris Gillet 1986 ex Julve 1993,,,,,7,5,5,6,5,5,7,0,3,3,-4,,4,6,x,7,0,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Sapindales,Sapindaceae,1985,7013,7021,Acer pseudoplatanus A,Acer pseudoplatanus B,Acer pseudoplatanus H
80564,Poaceae,"Agrostis alpina Scop., 1771",Agrostis alpina,80564,"Agrostis alpina Scop., 1771",Agrostis alpina Scop.,Agrostis alpina,45,esp,6589,1539,11/7.0.1,Agrostis alpina Scop.,orophyte méridional,panicule d'épillets,hermaphrodite,,anémogame,caryopse,anémochore,rose,,8-Jul,,,hces,hémicryptophytaie,"pelouses basophiles arctico-alpines climaciques, chionophobes, européennes occidentales",Caricetalia myosuroidis Oberdorfer 1957,,,,,8,2,4,5,5,6,3,0,5,7,8,2,3,5,6,4,0,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,197,,,Agrostis alpina
81179,Rosaceae,"Alchemilla transiens (Buser) Buser, 1898",Alchemilla transiens,81179,"Alchemilla transiens (Buser) Buser, 1898",Alchemilla transiens (Buser) Buser,Alchemilla transiens,49,esp,4635,2696,09/1.0.2,Alchemilla transiens (Buser) Buser,orophyte occidental,glomérules,hermaphrodite,,apogame,akène,épizoochore,vert,,8-Jun,,,heri,hémicryptophytaie,pelouses acidophiles montagnardes à subalpines,Trifolio alpini - Meetalia athamantici de Foucault 1994,,,,,8,3,4,6,5,4,3,0,3,5,,,,,,,,Magnoliopsida,Magnoliidae,Eudicots,Rosanae,,,Rosids,Rosales,Rosaceae,0,0,11634,,,Alchemilla transiens
130729,Asteraceae,"Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909","Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909",130729,"Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909",Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Achillea erba-rotta subsp. moschata,71,esp,361,334,08/20.0.1.0.1,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,orophyte alpien mérid.,corymbe de capitules,hermaphrodite,,entomogame,akène,anémochore,blanc,,8-Jul,,,hsto,hémicryptophytaie,"grpts vivaces des éboulis médio-européens, acidophiles, orophiles, alpiens",Androsacion alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926,,,,,8,2,8,5,5,3,2,0,6,1,9,1,4,6,3,2,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,3184,,,Achillea erba-rotta
79913,Asteraceae,"Achillea nana L., 1753","Achillea nana L., 1753",79913,"Achillea nana L., 1753",Achillea nana L.,Achillea nana,81,esp,369,398,08/20.0.1.0.1,Achillea nana L.,orophyte alpien,corymbe de capitules,hermaphrodite,,entomogame,akène,anémochore,blanc,,8-Jul,,,heri,hémicryptophytaie,"grpts vivaces des éboulis médio-européens, acidophiles, orophiles, alpiens",Androsacion alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926,,,,,8,1,7,6,6,3,2,0,6,1,8,1,3,6,6,2,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,3185,,,Achillea erb. moschata
80183,Asteraceae,"Adenostyles alliariae (Gouan) A.Kern., 1871","Adenostyles alliariae (Gouan) A.Kern., 1871",80183,"Adenostyles alliariae (Gouan) A.Kern., 1871",Adenostyles alliariae (Gouan) A.Kern.,Adenostyles alliariae,123,esp,8540,790,05/1.0.1.0.1,Adenostyles alliariae (Gouan) A.Kern.,orophyte méridional,corymbe de capitules,hermaphrodite,,"entomogame, autogame",akène,anémochore,rose,,8-Jul,,,Heri,hémicryptophytaie,"mégaphorbiaies subalpines, hygrophiles, mésotrophiles, basophiles, des adrets",Adenostylion alliariae Braun-Blanquet 1926,,,,,6,2,6,8,7,7,8,0,1,8,6,3,2,6,x,8,0,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,3037,,,Adenostyles alliariae
80184,Asteraceae,"Adenostyles alpina (L.) Bluff & Fingerh., 1825","Adenostyles alpina (L.) Bluff & Fingerh., 1825",80184,"Adenostyles alpina (L.) Bluff & Fingerh., 1825",Adenostyles alpina (L.) Bluff & Fingerh.,Adenostyles alpina,124,esp,29930,74938,05/1.0.1.0.13,Adenostyles alpina (L.) Bluff & Fingerh.,orophyte méridional,corymbe de capitules,hermaphrodite,,"entomogame, autogame",akène,anémochore,rose,,8-Jun,,,heri,hémicryptophytaie,,"Adenostylion alpinae Castelli, Biondi & Ballelli 2001 ex Castelli, Biondi & Ballelli in Biondi, Allegrezza, Casavecchia, Galdenzi, Gasparri, Pesaresi, Vagge & Blasi 2014",,,,,6,2,5,6,6,7,7,0,2,3,,,,,,,,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,13506,,,Achillea x feliciana *
80190,Asteraceae,"Adenostyles leucophylla (Willd.) Rchb., 1831","Adenostyles leucophylla (Willd.) Rchb., 1831",80190,"Adenostyles leucophylla (Willd.) Rchb., 1831",Adenostyles leucophylla (Willd.) Rchb.,Adenostyles leucophylla,128,esp,380,807,08/20.0.1.0.1,Adenostyles leucophylla (Willd.) Rchb.,orophyte alpien occ.,corymbe de capitules,hermaphrodite,,"entomogame, autogame",akène,anémochore,rose,,8-Jul,,,heri,hémicryptophytaie,"grpts vivaces des éboulis médio-européens, acidophiles, orophiles, alpiens",Androsacion alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926,,,,,8,2,8,5,5,3,2,0,6,1,,,,,,,,Magnoliopsida,Magnoliidae,Eudicots,Asteranae,,,Asterids,Asterales,Asteraceae,0,0,13489,,,Achillea x obscura *
80729,Poaceae,"Agrostis rupestris All., 1785","Agrostis rupestris All., 1785",80729,"Agrostis rupestris All., 1785",Agrostis rupestris All.,Agrostis rupestris,179,esp,8556,1842,11/5.0.1.0.1,Agrostis rupestris All.,orophyte méridional,panicule d'épillets,hermaphrodite,,anémogame,caryopse,anémochore,rose,,8-Jun,,,hces,hémicryptophytaie,"pelouses acidophiles alpino-alpiennes climaciques, chionophobes",Caricion curvulae subsp. curvulae Braun-Blanquet 1925,,,,,8,2,3,5,4,2,1,0,5,1,8,2,2,4,2,1,0,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,199,,,Agrostis rupestris
80741,Poaceae,"Agrostis schraderiana Bech., 1938","Agrostis schraderiana Bech., 1938",80741,"Agrostis schraderiana Bech., 1938",Agrostis schraderiana Bech.,Agrostis schraderiana,185,esp,6588,1870,09/20.0.1.0.7,Agrostis schraderiana Bech.,orophyte alpien,panicule d'épillets,hermaphrodite,,anémogame,caryopse,barochore,,,,,,hsto,hémicryptophytaie,"pelouses basophiles subalpines, alpiennes, mésohygrophiles",Caricion ferrugineae Braun-Blanquet 1931,,,,,7,2,7,6,6,6,5,0,5,3,6,2,6,5,6,6,0,Magnoliopsida,Magnoliidae,Monocots,Lilianae,,,Commelinids,Poales,Poaceae,0,0,194,,,Agrostis agrostiflora
