cdref7,CD_REF7,libcdref7,STRATEGIES_CSR,comment,SA_CSR,JVE_CSR
79319,79319,"Abies alba Mill., 1768",ccc,,ccc,ccc
5422,5422,Abietinella abietina (Hedw.) M.Fleisch.,,ccc,ccc,
79734,79734,"Acer campestre L., 1753",ccc,,ccc,ccc
79763,79763,"Acer monspessulanum L., 1753",,,ccc,
79770,79770,"Acer opalus Mill., 1768",ccc,,ccc,ccc
79779,79779,"Acer platanoides L., 1753",ccc,,ccc,ccc
79783,79783,"Acer pseudoplatanus L., 1753",ccc,,ccc,ccc
79875,79875,"Achillea collina Becker ex Rchb., 1832",crs,,crs,crs
79875,79875,"Achillea collina Becker ex Rchb., 1832",crs,,crs,crs
130726,130726,"Achillea distans subsp. tanacetifolia Janch., 1942",,,crs,
79886,79886,"Achillea distans Waldst. & Kit. ex Willd., 1803",,,crs,
79887,79887,"Achillea erba-rotta All., 1773",css,,css,css
79887,79887,"Achillea erba-rotta All., 1773",css,,css,css
79887,79887,"Achillea erba-rotta All., 1773",,,css,
79905,79905,"Achillea macrophylla L., 1753",ccs,,ccs,ccs
130736,130736,Achillea millefolium L. subsp. millefolium,ccr,,ccr,ccr
79908,79908,"Achillea millefolium L., 1753",,,ccr,
130740,130740,"Achillea millefolium subsp. sudetica (Opiz) Oborny, 1885",crs,,crs,crs
79913,79913,"Achillea nana L., 1753",crs,,crs,crs
79915,79915,"Achillea odorata L., 1759",crs,,crs,crs
79923,79923,"Achillea roseo-alba Ehrend., 1959",crs,,crs,crs
79939,79939,"Achillea tomentosa L., 1753",crs,,crs,crs
79970,79970,"Achnatherum calamagrostis (L.) P.Beauv., 1812",rss,,rss,rss
80007,80007,"Aconitum anthora L., 1753",css,,css,css
80034,80034,"Aconitum lycoctonum L., 1753",ccs,,ccs,ccs
130772,130772,"Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman, 1878",,,ccs,
611926,611926,"Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman, 1889",ccs,,ccs,ccs
130802,130802,"Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944",ccs,,ccs,ccs
80137,80137,"Actaea spicata L., 1753",ccs,,ccs,ccs
447951,447951,"Adiantum capillus-veneris L., 1753",css,,css,css
80211,80211,"Adonis aestivalis L., 1762",,,rss,
80211,80211,"Adonis aestivalis L., 1762",,,rss,
80211,80211,"Adonis aestivalis L., 1762",rss,,rss,rss
80238,80238,"Adonis pyrenaica DC., 1815",crs,,crs,crs
80243,80243,"Adoxa moschatellina L., 1753",crs,,crs,crs
80322,80322,"Aegopodium podagraria L., 1753",ccc,,ccc,ccc
80358,80358,"Aethusa cynapium L., 1753",crr,,crr,crr
611902,611902,"Aethusa cynapium subsp. elata (Friedl.) Schübler & G.Martens, 1834",crr,,crr,crr
80410,80410,"Agrimonia eupatoria L., 1753",ccr,,ccr,ccr
80546,80546,"Agrostemma githago L., 1753",crs,,crs,crs
80564,80564,"Agrostis alpina Scop., 1771",crs,,crs,crs
80591,80591,"Agrostis capillaris L., 1753",crs,,crs,crs
130953,130953,Agrostis capillaris var. capillaris,,,crs,
80672,80672,"Agrostis mertensii Trin., 1836",,crs,crs,
80729,80729,"Agrostis rupestris All., 1785",,crs,crs,
80759,80759,"Agrostis stolonifera L., 1753",crs,,crs,crs
80759,80759,"Agrostis stolonifera L., 1753",,,crs,
80857,80857,"Aira caryophyllea L., 1753",,,rrr,
80978,80978,"Ajuga chamaepitys (L.) Schreb., 1773",rrs,,rrs,rrs
80980,80980,"Ajuga genevensis L., 1753",crs,,crs,crs
80988,80988,"Ajuga pyramidalis L., 1753",crs,,crs,crs
80990,80990,"Ajuga reptans L., 1753",crs,,crs,crs
81032,81032,"Alchemilla alpigena Buser, 1894",css,,css,css
81032,81032,"Alchemilla alpigena Buser, 1894",css,,css,css
81032,81032,"Alchemilla alpigena Buser, 1894",,,css,
81033,81033,"Alchemilla alpina L., 1753",css,,css,css
81055,81055,"Alchemilla colorata Buser, 1892",ccs,,ccs,ccs
81055,81055,"Alchemilla colorata Buser, 1892",ccs,,ccs,ccs
81057,81057,"Alchemilla conjuncta Bab., 1842",css,,css,css
81058,81058,"Alchemilla connivens Buser, 1894",ccs,,ccs,ccs
81058,81058,"Alchemilla connivens Buser, 1894",ccs,,ccs,ccs
81058,81058,"Alchemilla connivens Buser, 1894",ccs,,ccs,ccs
81059,81059,"Alchemilla coriacea Buser, 1891",ccs,,ccs,ccs
81063,81063,"Alchemilla crinita Buser, 1892",ccs,,ccs,ccs
81075,81075,"Alchemilla fissa Günther & Schummel, 1819",,,ccs,
81075,81075,"Alchemilla fissa Günther & Schummel, 1819",ccs,,ccs,ccs
81076,81076,"Alchemilla flabellata Buser, 1891",ccs,,ccs,ccs
81088,81088,"Alchemilla glabra Neygenf., 1821",ccs,,ccs,ccs
81088,81088,"Alchemilla glabra Neygenf., 1821",ccs,,ccs,ccs
81088,81088,"Alchemilla glabra Neygenf., 1821",ccs,,ccs,ccs
81088,81088,"Alchemilla glabra Neygenf., 1821",ccs,,ccs,ccs
81091,81091,"Alchemilla glaucescens Wallr., 1840",ccs,,ccs,ccs
81092,81092,"Alchemilla glomerulans Buser, 1893",ccs,,ccs,ccs
81097,81097,"Alchemilla heteropoda Buser, 1894",ccs,,ccs,ccs
81104,81104,"Alchemilla incisa Buser, 1892",ccs,,ccs,ccs
81130,81130,"Alchemilla monticola Opiz, 1838",ccs,,ccs,ccs
81140,81140,"Alchemilla pentaphyllea L., 1753",css,,css,css
81159,81159,"Alchemilla saxatilis Buser, 1891",css,,css,css
81166,81166,"Alchemilla splendens H.Christ ex Favrat, 1889",ccs,,ccs,ccs
81166,81166,"Alchemilla splendens H.Christ ex Favrat, 1889",ccs,,ccs,ccs
608142,608142,"Alchemilla strigosula Buser, 1893",ccs,,ccs,ccs
81170,81170,"Alchemilla subcrenata Buser, 1893",ccs,,ccs,ccs
81171,81171,"Alchemilla subsericea Reut., 1854",css,,css,css
81179,81179,"Alchemilla transiens (Buser) Buser, 1898",css,,css,css
81179,81179,"Alchemilla transiens (Buser) Buser, 1898",,,ccs,
81179,81179,"Alchemilla transiens (Buser) Buser, 1898",css,,css,css
81179,81179,"Alchemilla transiens (Buser) Buser, 1898",css,,css,css
81190,81190,"Alchemilla vetteri Buser, 1896",ccs,,ccs,ccs
81195,81195,"Alchemilla xanthochlora Rothm., 1937",ccs,,ccs,ccs
81195,81195,"Alchemilla xanthochlora Rothm., 1937",ccs,,ccs,ccs
81295,81295,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",ccr,,ccr,ccr
81347,81347,"Allium coloratum Spreng., 1825",crs,,crs,crs
81443,81443,"Allium narcissiflorum Vill., 1779",crs,,crs,crs
81457,81457,"Allium oleraceum L., 1753",crs,,crs,crs
81459,81459,"Allium oporinanthum Brullo, Pavone & Salmeri, 1977",,crs,crs,
81508,81508,"Allium schoenoprasum L., 1753",crs,,crs,crs
81520,81520,"Allium sphaerocephalon L., 1753",crs,,crs,crs
81544,81544,"Allium vineale L., 1753",crr,,crr,crr
131226,131226,Alnus alnobetula (Ehrh.) K.Koch subsp. alnobetula,ccs,,ccs,ccs
131226,131226,Alnus alnobetula (Ehrh.) K.Koch subsp. alnobetula,,,ccs,
81567,81567,"Alnus cordata (Loisel.) Duby, 1828",ccc,,ccc,ccc
