Code_taxon_CBNA,CD_REF,cdref7,libcdref7,Strategie_CSR,Forme_vie
16365,102794,102794,"Hierochloe odorata (L.) P.Beauv., 1812",Au,1
17343,79319,79319,"Abies alba Mill., 1768",ccc,p
6,79734,79734,"Acer campestre L., 1753",ccc,p
19,79770,79770,"Acer opalus Mill., 1768",ccc,p
22,79779,79779,"Acer platanoides L., 1753",ccc,p
23,79783,79783,"Acer pseudoplatanus L., 1753",ccc,p
139,80322,80322,"Aegopodium podagraria L., 1753",ccc,g-h
3319,81567,81567,"Alnus cordata (Loisel.) Duby, 1828",ccc,p
6419,83481,83481,"Arbutus unedo L., 1753",ccc,n-p
15723,87212,87212,"Calamagrostis arundinacea (L.) Roth, 1788",ccc,h
15723,87212,87212,"Calamagrostis arundinacea (L.) Roth, 1788",ccc,h
15723,87212,87212,"Calamagrostis arundinacea (L.) Roth, 1788",ccc,h
15723,87212,87212,"Calamagrostis arundinacea (L.) Roth, 1788",ccc,h
6075,89200,89200,"Carpinus betulus L., 1753",ccc,p
7892,89304,89304,"Castanea sativa Mill., 1768",ccc,p
7892,89304,89304,"Castanea sativa Mill., 1768",ccc,p
7892,89304,89304,"Castanea sativa Mill., 1768",ccc,p
290,90328,90328,"Chaerophyllum aureum L., 1762",ccc,h
10512,91886,91886,"Clematis vitalba L., 1753",ccc,p.li
6070,92467,92467,"Coriaria myrtifolia L., 1753",ccc,n
6072,92497,92497,"Cornus mas L., 1753",ccc,n-p
6073,92501,92501,"Cornus sanguinea L., 1753",ccc,n
6077,92606,92606,"Corylus avellana L., 1753",ccc,n-p
118,92631,92631,"Cotinus coggygria Scop., 1771",ccc,n
118,92631,92631,"Cotinus coggygria Scop., 1771",ccc,n
11073,92651,92651,"Cotoneaster delphinensis Châtenier, 1923",ccc,n
11075,92667,92667,"Cotoneaster integerrimus Medik., 1793",ccc,n
11075,92667,92667,"Cotoneaster integerrimus Medik., 1793",ccc,n
11075,92667,92667,"Cotoneaster integerrimus Medik., 1793",ccc,n
11077,92669,92669,"Cotoneaster juranus Gand., 1875",ccc,n
11082,92710,92710,"Cotoneaster tomentosus Lindl., 1822",ccc,n
11082,92710,92710,"Cotoneaster tomentosus Lindl., 1822",ccc,n
11086,92715,92715,"Cotoneaster x intermedius (Lecoq & Lamotte) H.J.Coste, 1923",ccc,n
11075,92715,92715,"Cotoneaster x intermedius (Lecoq & Lamotte) H.J.Coste, 1923",ccc,n
9280,96180,96180,"Epilobium hirsutum L., 1753",ccc,h
6432,96659,96659,"Erica arborea L., 1753",ccc,n-p
7895,97947,97947,"Fagus sylvatica L., 1753",ccc,p
9369,98921,98921,"Fraxinus excelsior L., 1753",ccc,p
9370,98933,98933,"Fraxinus ornus L., 1753",ccc,p
715,103514,103514,"Ilex aquifolium L., 1753",ccc,n-p
438,103578,103578,"Imperatoria ostruthium L., 1753",ccc,h
8436,104076,104076,"Juglans regia L., 1753",ccc,p
17310,136983,136983,Juniperus phoenicea L. subsp. phoenicea,ccc,n-p
17310,104410,104410,"Juniperus phoenicea L., 1753",ccc,n-p
7042,104715,104715,"Laburnum alpinum (Mill.) Bercht. & J.Presl, 1835",ccc,n-p
7042,104715,104715,"Laburnum alpinum (Mill.) Bercht. & J.Presl, 1835",ccc,n-p
7042,104715,104715,"Laburnum alpinum (Mill.) Bercht. & J.Presl, 1835",ccc,n-p
