"","Glacier","Plot_ID","SP_nom","CBNA","Taxref","Cover","CNRATIO","DISPERSAL_CBNA","DISPERSAL_INDK","GROWTHF","LDMCst","LHIST_CBNA","SEEDM","SLA","STRAT","LDMC","LDMCp"
"1","GB","B2_21","Adenostyles alpina",818,"80184",0.166666667,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"2","GB","B3_01","Adenostyles alpina",818,"80184",0.25,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"3","GB","B3_25","Adenostyles alpina",818,"80184",0.333333333,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"4","GB","B4_04","Adenostyles alpina",818,"80184",0.285714286,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"5","GB","B4_07","Adenostyles alpina",818,"80184",0.25,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"6","GB","B4_15","Adenostyles alpina",818,"80184",1,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"7","GB","B4_24","Adenostyles alpina",818,"80184",0.142857143,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"8","GB","B4_25","Adenostyles alpina",818,"80184",1,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"9","GB","C_13","Adenostyles alpina",818,"80184",1,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"10","GB","B2_07","Adenostyles leucophylla",824,"80190",0.2,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"11","GB","B2_16","Adenostyles leucophylla",824,"80190",0.166666667,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"12","GB","B2_22","Adenostyles leucophylla",824,"80190",0.375,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"13","GB","B2_26","Adenostyles leucophylla",824,"80190",3,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"14","GB","B2_27","Adenostyles leucophylla",824,"80190",0.166666667,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"15","GB","B2_28","Adenostyles leucophylla",824,"80190",0.166666667,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"16","GB","B3_02","Adenostyles leucophylla",824,"80190",1,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"17","GB","B3_04","Adenostyles leucophylla",824,"80190",0.166666667,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"18","GB","B3_14","Adenostyles leucophylla",824,"80190",2,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"19","GB","B3_21","Adenostyles leucophylla",824,"80190",1,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
"20","GB","B3_24","Adenostyles leucophylla",824,"80190",0.153846154,NA,"Wind dispersal","meteorochory",NA,NA,"Hemicryptophyte",NA,NA,NA,NA,NA
