Numéro,_CBNA_presence_base,_CBNA_presence_ZA,_LECA_selection,_Code_taxon_CBNA,_Famille_CBNA,_Genre_CBNA,_libelle_taxon_CBNA,_type_biologiques_CBNA_VALS,_Hauteur_moyenne_CBNA_VALS,mode_dispersion_CBNA_VALS,Mode_dispersion_detail_CBNA,attribut_de_dissemin_CBNA,attribut_de_dissemin_modif_JVE,attribut_de_dissemin_commentaire_CBNA,Vittoz_SD_DispersalType,Vittoz_SD_Height,Vittoz_SD_SeedMass,Vittoz_SD_SLAall,L_Lumière_ellenberg_JVE,L_Lumièrel_ellenberg_Luc,L_Lumière_ellenberg_CBNA,L_Amplitude_Lumière_ellenberg_CBNA,L_Lumière_ellenberg,L_Ellenberg_British,LO_Ellenberg_British,F_Humidité du sol_ellenberg_CBNA,F_Humidité du sol_Landolt_CBNA,F_Ellenberg_British,FO_Ellenberg_British,F_Humidité du sol_ellenberg,N_Nutriments du sol_ellenberg_JVE,N_Nutriments du sol_Landolt_CBNA,N_Ellenberg_British,NO_Ellenberg_British,N_Nutriments du sol_ellenberg,R_Ellenberg_British,RO_Ellenberg_British,S_Ellenberg_British,SO_Ellenberg_British,chorologie_classe_JULVE,phenologie_ordre_de_floraison_JULVE,grand_type_de_formation_JULVE,CD_ref,Code_taxon_num,CBNA,ListeLECA,champs1_Subsp?_,macroclimat_CBNA,microclimat_Temperature_stationnelle_CBNA,libelle_taxon,graine_taille_CBNA,phenologie_fructification_:periode_CBNA,plante_carnivore_CBNA,lian_vrilles_crochet_crampons_CBNA,feuill_succulente_CBNA,tige_succulente_CBNA,feuill_epineuse_CBNA,rameau_ou_tige_epineux_CBNA,rameau_chlorophyllien_CBNA,port_dressé_CBNA,port_rampant_CBNA,port_procombant_CBNA,port_étalé_CBNA,Cycle_mono_ou_polycarpique_CBNA,cycle_maturite_longevite_CBNA,Cycle_classe_d_age_CBNA,classe_d_age_CBNA,diffusion_CBNA,types_morphologiques_de_Barkman_1988,Endemisme_CBNA_VALS,Biologie_type_de_nutrition_CBNA_VALS,Feuillage_caducite_persistance_CBNA,Chorologie_classe_modif_LG,naturalite_habitat_primaire_secondaire_CBNA_en attente,naturalite_habitat_primaire_secondaire_modifs_JVE_en attente,fleur_inflorescence_type_julve_revue_CBNA,fleur_couleur_CBNA,fleur_petale_ornementation_CBNA,fleur_sexualite_CBNA,fruit_type_CBNA_VALS,fruit_couleur_CBNA,gradiant_herbacee_ligneux_CBNA_VALS,Hauteur_fourchette_moyenne_CBNA_VALS,Hauteur_fourchette_exteme_CBNA,phenologie_floraison_ordre_CBNA,phenologie_floraisofeuillaison_ordre_CBNA,phenologie_floraison_periode_CBNA,phenologie_fecondationpollinisation_type_CBNA,indigénat_ZA_CBNA_VALS
3,x,x,x,17343,Pinaceae,Abies,Abies alba Miller,PH,2500,anémochore et dyszoochore,,graine à aile,,,4,2500,72.1566666666667,5.87,3,?,3,,(3),,,,3,,,x,,,,,x,,,,,Orophyte sud-Europe,,grande phanérophytaie,79319,17343,x,x,,4,3-4,Abies alba Mill.,,,,,,,,,,x,,,,polycarpique,,,6-7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,OROPHYTES,PS,,cône,jaune,,monoïque,cône,,frutescent,1000-4000,,ECH,CONT,4-5,anémogame,Indigène
4,x,x,,17345,Pinaceae,Abies,Abies cephalonica Loudon,PH,,anémochore,,aile,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Balkans),,grande phanérophytaie,79325,17345,nr,,,,,Abies cephalonica Loudon,,,,,,,,,,x,,,,,,,7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,orophyte,S,,cône,jaune,,monoïque,cône,,,,,ECH,CONT,,anémogame,Exogène
5,x,x,,17347,Pinaceae,Abies,Abies grandis (D. Don) Lindley,PH,,anémochore,,aile,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Amér. du nord occ.),,grande phanérophytaie,,17347,NA,,,,,Abies grandis (Douglas ex D.Don) Lindl.,,,,,,,,,,x,,,,polycarpique,,,7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,OROPHYTES,S,,cône,jaune,,monoïque,cône,,,,,ECH,CONT,4,anémogame,Exogène
1,x,x,,17350,Pinaceae,Abies,Abies nordmanniana (Steven) Spach,PH,,anémochore,,aile,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Caucase),,grande phanérophytaie,79345,17350,nr,,,,,Abies nordmanniana (Steven) Spach subsp. nordmanniana,,,,,,,,,,x,,,,,,,7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,,S,,cône,jaune,,monoïque,cône,,,,,ECH,CONT,4,anémogame,Exogène
6,x,x,,17351,Pinaceae,Abies,Abies nordmanniana (Steven) Spach subsp. bornmuelleriana (Mattf.) Coode & Cullen,PH,,anémochore,,aile,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Caucase),,grande phanérophytaie,130694,17351,nr,,T,,,Abies nordmanniana (Steven) Spach subsp. bornmuelleriana (Mattf.) Coode & Cullen,,,,,,,,,,x,,,,,,,7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,OROPHYTES,S,,cône,jaune,,monoïque,cône,,,,,ECH,CONT,4,anémogame,Exogène
2,x,x,,40029,Pinaceae,Abies,Abies pinsapo Boiss.,PH,,anémochore,,aile,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Espagne),,grande phanérophytaie,79349,40029,nr,,,,,Abies pinsapo Boiss.,,,,,,,,,,x,,,,,,,7,sexuée uniquement,piceids,,chlorophyllien,sempervirent,Méditerranéen,S,,cône,jaune,,monoïque,cône,,,,,ECH,CONT,,anémogame,Exogène
9510,x,x,,50577,Thuidiaceae,Abietinella,Abietinella abietina (Hedw.) M.Fleisch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,x,x,x,09111,Malvaceae,Abutilon,Abutilon theophrasti Medik.,TH,80,barochore,Boleochorie-Speirochorie,sans attribut visible,,,,,,,7,$,7,,,,,,3,,,,,,,,,,,,,eurasiatique,,thérophytaie,79684,9111,x,x,,2,2,Abutilon theophrasti Medik.,,,,,,,,,,x,,,,monocarpique,1,a2,1,sexuée et rejets de touffe,?,,chlorophyllien,caduque,Eurasiatique,S,,racème de cymes bipares,jaune,,hermaphrodite,capsule,,herbacé,40-120,,ECH,CONT,6-7,entomogame,Exogène
8,,,,09187,,Acacia,Acacia dealbata Willd.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9187,nr,,,,,Acacia dealbata Link,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,ECH,CONT,,entomogame,Exogène
9,,,,09188,,Acacia,Acacia farnesiana (L.) Willd.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit,,,,9188,nr,,,,,Acacia farnesiana (L.) Willd.,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,,entomogame,Exogène
10,,,,09190,,Acacia,Acacia karroo Hayne,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Afrique du sud),,grande phanérophytaie,,9190,NA,,,,,Acacia karoo Hayne,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Africain,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,6-7,entomogame,Exogène
11,,,,09191,,Acacia,Acacia longifolia (Andrews) Willd.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9191,nr,,,,,Acacia longifolia (Andrews) Willd.,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,4-5,entomogame,Exogène
12,,,,09193,,Acacia,Acacia mearnsii De Wild.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9193,NA,,,,,Acacia mearnsii De Wild.,,,,,,,,x,x,x,,,,polycarpique,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,,entomogame,Exogène
13,,,,09194,,Acacia,Acacia melanoxylon R. Br.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9194,nr,,,,,Acacia melanoxylon R.Br.,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,"blanc, jaune",,hermaphrodite,gousse,,,,,SIM,CONT,,entomogame,Exogène
14,,,,09196,,Acacia,Acacia retinodes Schlecht.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9196,nr,,,,,Acacia retinodes Schltr.,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,6-7,entomogame,Exogène
15,,,,09197,,Acacia,Acacia saligna (Labill.) Wendl. fil.,PH,,barochore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,introduit (Australie),,grande phanérophytaie,,9197,nr,,,,,Acacia saligna (Labill.) H.L.Wendl.,,,,,,,,x,x,x,,,,,,,6,sexuée et rejets de touffe,?,,chlorophyllien,?,Australien,S,,racème simple,jaune,,hermaphrodite,gousse,,,,,SIM,CONT,,entomogame,Exogène
