,CD_REF,nom_reconnu,nom_baseflor,pollinisation,dissemination,Source dispersal mode,Commentaire,famille,dispersal_mode,CSR,Comment CSR,Source CSR
113,613160,"Agrostis rupestris var. rupestris All., 1785",Agrostis rupestris All. var. rupestris,anemogame,anemochore,baseflor Julve,,Poaceae,NA,NA,,
4,80741,"Agrostis schraderiana Bech., 1938",Agrostis schraderiana Bech.,anemogame,barochore,baseflor Julve,,Poaceae,NA,NA,,
5,81563,"Alnus alnobetula (Ehrh.) K.Koch, 1872",Alnus alnobetula (Ehrh.) K.Koch,anemogame,anemochore,baseflor Julve,,Betulaceae,anemochore,NA,,
79,131226,"Alnus alnobetula subsp. alnobetula (Ehrh.) K.Koch, 1872",Alnus alnobetula (Ehrh.) K.Koch,anemogame,anemochore,baseflor Julve,,Betulaceae,NA,ccs,,
122,718302,"Alopecurus gerardi subsp. gerardi Vill., 1786",Alopecurus gerardi Vill.,anemogame,barochore,baseflor Julve,,Poaceae,NA,NA,,
6,81638,"Alopecurus gerardi Vill., 1786",Alopecurus gerardi Vill.,anemogame,barochore,baseflor Julve,,Poaceae,NA,NA,,
9,82914,"Anthoxanthum alpinum Á.Löve & D.Löve, 1948",Anthoxanthum alpinum Á.Löve & D.Löve,anemogame,epizoochore,baseflor Julve,,Poaceae,NA,NA,,
10,82922,"Anthoxanthum odoratum L., 1753",Anthoxanthum odoratum L.,anemogame,epizoochore,baseflor Julve,,Poaceae,NA,crs,,
13,84053,"Artemisia umbelliformis Lam., 1783",Artemisia umbelliformis Lam.,anemogame,barochore,baseflor Julve,,Asteraceae,NA,NA,,
15,85418,"Avenella flexuosa (L.) Drejer, 1838",Avenella flexuosa (L.) Drejer,anemogame,epizoochore,baseflor Julve,,Poaceae,NA,NA,,
101,189857,"Betula L., 1753",,anemogame,anemochore,baseflor Julve,J'ai pris les attributs de toutes les esp. du genre,Betulaceae,NA,NA,,
16,85904,"Betula pubescens Ehrh., 1791",Betula pubescens Ehrh.,anemogame,anemochore,baseflor Julve,,Betulaceae,NA,NA,,
80,132395,"Calamagrostis varia subsp. varia (Schrad.) Host, 1809",Calamagrostis varia (Schrad.) Host subsp. varia,anemogame,anemochore,baseflor Julve,,Poaceae,NA,ccs,,
20,88359,"Carex atrata L., 1753",Carex atrata L.,anemogame,barochore,baseflor Julve,,Cyperaceae,NA,crs,,
21,88504,"Carex ferruginea Scop., 1772",Carex ferruginea Scop.,anemogame,epizoochore,baseflor Julve,,Cyperaceae,barochore,NA,,
22,88708,"Carex myosuroides Vill., 1779",Carex myosuroides Vill.,anemogame,barochore,baseflor Julve,,Cyperaceae,NA,NA,,
83,132810,"Carex sempervirens subsp. sempervirens Vill., 1787",Carex sempervirens Vill.,anemogame,epizoochore,baseflor Julve,,Cyperaceae,NA,css,,
23,88865,"Carex sempervirens Vill., 1787",Carex sempervirens Vill.,anemogame,epizoochore,baseflor Julve,,Cyperaceae,barochore,NA,,
84,133787,"Deschampsia cespitosa subsp. cespitosa (L.) P.Beauv., 1812",Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa,anemogame,epizoochore,baseflor Julve,,Poaceae,NA,css,,
27,98272,"Festuca halleri All., 1785",Festuca halleri All.,anemogame,epizoochore,baseflor Julve,,Poaceae,NA,NA,,
116,717225,"Helictochloa versicolor (Vill.) Romero Zarco, 2011",Helictochloa versicolor (Vill.) Romero Zarco,anemogame,epizoochore,baseflor Julve,,Poaceae,NA,NA,,
123,718360,"Helictochloa versicolor subsp. versicolor (Vill.) Romero Zarco, 2011",Helictochloa versicolor (Vill.) Romero Zarco,anemogame,epizoochore,baseflor Julve,,Poaceae,NA,NA,,
87,136974,"Juniperus communis subsp. nana (Hook.) Syme, 1868",Juniperus communis subsp. nana (Hook.) Syme,anemogame,endozoochore,baseflor Julve,,Cupressaceae,NA,NA,,
39,105042,"Larix decidua Mill., 1768",Larix decidua Mill.,anemogame,anemochore,baseflor Julve,,Pinaceae,NA,ccc,,
104,194322,"Luzula DC., 1805",,anemogame,myrmecochore,baseflor Julve,J'ai pris les attributs de toutes les esp. du genre,Juncaceae,NA,NA,,
90,137520,"Luzula spicata subsp. spicata (L.) DC., 1805",Luzula spicata (L.) DC. subsp. spicata,anemogame,myrmecochore,baseflor Julve,,Juncaceae,barochore,NA,,
91,137521,"Luzula sylvatica subsp. sieberi (Tausch) K.Richt., 1890",Luzula sylvatica subsp. sieberi (Tausch) K.Richt.,anemogame,myrmecochore,baseflor Julve,,Juncaceae,NA,NA,,
50,113224,"Phleum rhaeticum (Humphries) Rauschert, 1979",Phleum rhaeticum (Humphries) Rauschert,anemogame,epizoochore,baseflor Julve,,Poaceae,NA,NA,,
52,113432,"Picea abies (L.) H.Karst., 1881",Picea abies (L.) H.Karst.,anemogame,anemochore,baseflor Julve,,Pinaceae,NA,ccc,,
58,119450,"Rumex arifolius All., 1773",Rumex arifolius All.,anemogame,anemochore,baseflor Julve,,Polygonaceae,NA,crs,,
59,119587,"Rumex scutatus L., 1753",Rumex scutatus L.,anemogame,anemochore,baseflor Julve,,Polygonaceae,NA,css,,
105,197334,"Salix L., 1753",,anemogame,anemochore,baseflor Julve,J'ai pris les attributs de toutes les esp. du genre,Salicaceae,NA,NA,,
97,151113,"Salix repens var. repens L., 1753",Salix repens L. subsp. repens var. repens,anemogame,anemochore,baseflor Julve,,Salicaceae,NA,NA,,
95,141953,"Trisetum spicatum subsp. ovatipaniculatum Hulten ex Jonsell, 1975",Trisetum spicatum subsp. ovatipaniculatum Hulten ex Jonsell,anemogame,epizoochore,baseflor Julve,,Poaceae,anemochore,NA,,
100,188940,"Alchemilla L., 1753",,apogame,epizoochore,baseflor Julve,J'ai pris les attributs de toutes les esp. du genre,Rosaceae,NA,NA,,
102,193276,"Hieracium L., 1753",,apogame,anemochore,baseflor Julve,J'ai pris les attributs de toutes les esp. du genre,Asteraceae,NA,NA,,
127,20000658,Hieracium murorum gpe,Hieracium murorum L.,apogame,anemochore,baseflor Julve,,Asteraceae,NA,NA,,
118,717382,"Pilosella glacialis (Reyn. ex Lachen.) F.W.Schultz & Sch.Bip., 1862",Pilosella glacialis (Reyn.) F.W.Schultz & Sch.Bip.,apogame,anemochore,baseflor Julve,,Asteraceae,NA,crs,,
115,715557,"Pilosella Hill, 1756",,apogame,anemochore,baseflor Julve,J'ai pris les attributs de toutes les esp. du genre,Asteraceae,NA,NA,,
53,113527,"Pilosella peleteriana (Merat) F.W.Schultz & Sch.Bip., 1862",Pilosella peleteriana (Merat) F.W.Schultz & Sch.Bip.,apogame,anemochore,baseflor Julve,,Asteraceae,NA,NA,,
125,718390,"Pilosella peleteriana subsp. peleteriana (Merat) F.W.Schultz & Sch.Bip., 1862",Pilosella peleteriana (Merat) F.W.Schultz & Sch.Bip. subsp. peleteriana,apogame,anemochore,baseflor Julve,,Asteraceae,NA,crs,,
57,119149,"Rubus idaeus L., 1753",Rubus idaeus L.,apogame,endozoochore,baseflor Julve,,Rosaceae,NA,crs,,
106,198226,"Taraxacum F.H.Wigg., 1780",,apogame,anemochore,baseflor Julve,J'ai pris les attributs de toutes les esp. du genre,Asteraceae,NA,NA,,
119,717630,"Taraxacum officinale F.H.Wigg., 1780",?,apogame,anemochore,baseflor Julve,,Asteraceae,NA,NA,,
120,717660,"Taraxacum venustum Dahlst., 1907",Taraxacum venustum Dahlst.,apogame,anemochore,baseflor Julve,,Asteraceae,NA,NA,,
78,130729,"Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909",Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,entomogame,anemochore,baseflor Julve,,Asteraceae,NA,NA,,
7,82478,"Androsace alpina (L.) Lam., 1779",Androsace alpina (L.) Lam.,entomogame,barochore,baseflor Julve,,Primulaceae,barochore,NA,,
8,82519,"Androsace obtusifolia All., 1785",Androsace obtusifolia All.,entomogame,barochore,baseflor Julve,,Primulaceae,barochore,NA,,
121,717731,"Atocion rupestre (L.) Oxelman, 2001",Atocion rupestre (L.) B.Oxelman,entomogame,anemochore,baseflor Julve,,Caryophyllaceae,NA,NA,,
17,86082,"Bistorta vivipara (L.) Delarbre, 1800",Bistorta vivipara (L.) Delarbre,entomogame,barochore,baseflor Julve,,Polygonaceae,NA,NA,,
25,96163,"Epilobium dodonaei Vill., 1779",Epilobium dodonaei Vill.,entomogame,anemochore,baseflor Julve,,Onagraceae,NA,NA,,
28,98865,"Fragaria vesca L., 1753",Fragaria vesca L.,entomogame,endozoochore,baseflor Julve,,Rosaceae,NA,crs,,
30,99866,"Gentiana bavarica L., 1753",Gentiana bavarica L.,entomogame,barochore,baseflor Julve,,Gentianaceae,barochore,NA,,
31,100160,"Geranium sylvaticum L., 1753",Geranium sylvaticum L.,entomogame,epizoochore,baseflor Julve,,Geraniaceae,NA,ccs,,
